Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,Camera_0012,Camera_0013,Camera_0014,Camera_0015,Camera_0016,Camera_0017,Camera_0018,Camera_0019,Camera_0020,Camera_0021,Camera_0022,Camera_0023,Camera_0024,Camera_0025,Camera_0026,Camera_0027,Camera_0028,Camera_0029,Camera_0030,Camera_0031,Camera_0032,Camera_0033,Camera_0034,Camera_0035,Camera_0036,Camera_0037,Camera_0038,Camera_0039,Camera_0040,Camera_0041,Camera_0042,Camera_0043,Camera_0044,Camera_0045,Camera_0046,Camera_0047,x_position,y_position,z_position,unit_distance_from_origin,unit_id
1089,0,0,1274,5022,1612,0,0,0,0,8288,2623,0,8954,0,1060,3528,442,2021,0,0,3224,2021,0,0,0,2021,0,0,2200,2064,0,0,1470,154,0,0,3050,1936,0,0,0,2200,0,0,2205,2200,0,-3.976512,0.406866,0.314785,3,39
0,3844,0,0,0,152,0,0,0,0,62370,5022,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.147431,-7.789289,0.314784,12,39
3196,0,0,0,5695,1872,0,0,0,0,0,8249,0,6080,0,13671,2530,2604,1850,0,0,2436,1862,0,0,0,1519,0,0,2604,0,0,0,256,1053,0,0,1620,56,0,0,26,0,0,0,420,0,0,-1.801671,-2.393669,0.314794,2,39
2550,0,0,8025,5546,588,0,0,0,0,0,5110,0,12408,0,12870,2450,1722,1394,0,0,2070,1088,0,0,0,1435,0,0,1890,104,0,0,1175,943,0,0,170,0,0,0,0,345,0,0,968,609,0,-1.813755,-0.840182,0.314784,1,39
0,0,4250,0,936,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16688,0,0,0,4131,0,7098,0,3822,0,0,0,8979,0,0,0,5133,0,0,0,4661,0,0,0,13764,0,0,0,12496,5.416664,16.340357,0.314776,17,44
0,0,3528,0,494,0,0,0,540,0,0,0,7194,0,0,0,0,0,0,19278,0,0,0,4060,0,16781,0,3304,0,0,0,9213,0,0,0,5874,0,0,0,6030,0,0,0,222,0,0,0,7154,5.542097,16.057024,0.314782,16,44
0,0,4216,0,702,0,0,0,806,0,0,0,7728,0,0,0,0,0,0,26640,0,0,0,32,0,14852,0,0,0,0,0,10591,0,0,0,1740,0,0,0,1150,0,0,0,16650,0,0,0,14910,5.19127,15.122787,0.314781,15,44
0,0,3182,0,221,0,0,0,288,0,0,0,7980,0,0,0,0,2340,0,43788,0,0,0,1755,0,13340,0,2024,0,567,0,0,0,0,0,0,0,0,0,1160,0,1333,0,19635,0,3549,0,17402,4.827668,14.195638,0.314788,14,44
0,0,252,0,0,0,0,0,627,0,0,0,8712,0,0,0,0,5390,0,7257,0,5472,0,5180,0,12638,0,4623,0,5390,0,7344,0,5292,0,7488,0,5040,0,8532,0,4950,0,15295,0,4559,0,5084,4.479119,13.250812,0.314785,13,44
0,0,7912,1134,870,0,0,0,1050,0,0,0,6586,0,0,0,0,4860,0,0,0,5544,0,7275,0,12180,0,6552,0,4968,0,2970,0,5700,0,9545,0,5488,0,9744,0,4968,0,0,0,4770,0,0,4.12665,12.312327,0.314785,12,44
0,0,14194,0,0,0,0,0,1947,0,0,0,6097,0,4181,0,0,2632,0,0,0,2744,0,11310,0,5254,0,10250,0,2632,0,0,0,36,0,16956,0,0,0,17820,0,1599,62,45474,0,1512,0,58426,5.635692,10.59337,0.314761,11,44
0,0,17538,336,0,0,0,0,0,0,0,0,0,0,0,0,10665,2726,2907,0,13520,6890,3468,6490,0,23640,7070,5936,0,4402,1550,11430,11845,1476,7296,6800,0,6592,0,4888,0,3000,748,0,0,520,15827,0,0.412149,10.980969,0.314785,10,44
10549,0,915,1800,1221,6460,0,0,0,0,0,0,0,0,0,0,10010,5766,7752,0,10230,6565,7616,3355,0,0,7326,4624,0,5952,7410,0,9108,6996,9198,7992,0,6363,7888,4964,0,6262,6848,0,0,5978,11000,0,-0.172474,9.987004,0.314783,9,44
9300,0,0,1600,960,9728,0,0,0,0,0,0,0,0,0,0,8880,5978,7215,0,8736,6426,6976,0,0,0,6804,0,0,5880,4402,0,7298,5250,7888,8424,0,4848,6656,11139,0,5307,3904,0,0,3481,7896,0,-0.789407,8.960693,0.314785,8,44
8614,0,0,2898,1295,5360,0,0,0,0,0,380,0,0,0,0,8496,5782,5208,0,1800,15,6161,0,0,0,4080,0,0,4740,5940,0,5986,6552,6208,0,0,6161,6161,0,0,6000,5664,0,0,5626,3034,0,-1.443124,7.86849,0.314786,7,44
8658,0,0,2475,4,2058,0,0,0,0,299,3096,0,0,0,0,8658,6100,5244,0,396,6678,5244,0,0,0,5301,0,0,6283,5152,0,3720,7150,5978,0,0,6615,5510,0,0,6634,5301,0,0,6120,4725,0,-3.247167,6.199024,0.314786,6,44
4899,0,0,4081,2990,990,0,0,0,0,3068,1400,0,5751,0,6468,1820,0,390,0,0,0,1170,0,0,0,0,0,0,0,0,0,4,0,90,0,4698,0,684,0,0,0,0,0,0,0,748,0,-5.292323,2.811437,0.314792,5,44
494,0,0,1380,0,703,0,0,0,0,5576,900,0,7980,0,6720,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598,0,0,0,735,0,0,0,0,0,0,0,2948,0,-4.83481,1.268127,0.318262,4,44
0,0,0,3127,2310,154,0,0,0,0,5244,4482,0,7848,0,7313,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,2790,0,0,1290,1880,0,0,4316,1369,0,0,0,3036,0,0,2250,1872,0,-3.993384,0.172165,0.314784,3,44
2378,0,0,0,60,0,0,0,1995,0,0,0,0,0,6674,0,2419,609,0,0,0,1036,957,0,0,2080,1088,15470,0,312,744,0,0,338,1892,21,0,888,1558,3043,0,832,600,0,0,405,0,0,7.426463,6.239184,0.314789,9,31
3174,0,0,0,1500,0,0,0,1596,0,0,0,0,0,7821,0,3082,1680,110,0,0,2296,1085,4592,0,989,2790,13038,0,1880,2430,0,0,2310,2496,10855,0,2255,2205,14175,0,1640,2142,0,0,1840,0,0,7.533222,6.581277,0.314781,10,31
286,0,27548,0,1363,0,0,0,312,0,0,0,0,0,13400,0,0,1525,0,0,0,3102,0,10455,0,5025,0,9576,0,980,0,900,0,2961,0,16799,0,2880,34,18193,0,1860,750,0,0,696,0,0,6.708014,8.721086,0.314781,11,31
0,0,14933,0,437,0,0,0,1749,0,0,0,6566,0,10494,0,2346,2760,0,0,0,3417,0,6460,0,6688,0,5874,0,832,0,28392,0,2964,0,3564,0,3213,0,7605,0,612,125,16056,0,390,0,1014,6.07745,10.349267,0.314782,12,31
3942,0,14440,6018,918,0,0,0,1107,0,0,0,0,0,13377,0,4914,2352,408,0,0,3312,3024,13272,0,6958,155,11775,0,290,2250,0,0,1296,4914,20679,0,2303,4131,19895,0,2668,1184,0,0,510,0,0,3.615861,8.233592,0.314789,8,31
0,0,0,5104,1080,1148,0,0,2365,0,0,0,0,0,3120,0,4140,2448,3080,0,0,2432,3045,19764,0,8568,2805,17271,0,2117,4116,0,0,3822,4732,24752,0,3149,4200,25620,0,3404,3792,0,0,3358,0,0,2.944356,7.430034,0.314786,7,31
2800,0,0,5850,1311,2544,0,0,3108,0,0,0,0,0,6969,0,1628,720,192,0,0,1125,897,0,0,4828,100,14220,0,184,1890,0,0,1763,2064,0,0,105,1886,2884,0,1628,1760,0,0,1591,0,0,3.668098,5.957595,0.314786,6,31
960,0,0,387,1770,2907,0,0,2838,0,0,0,0,0,8010,0,0,1763,2070,0,0,1584,2115,0,0,5200,544,0,0,1722,1980,0,0,1408,2254,0,0,646,2024,0,0,1763,1634,0,0,1218,0,0,4.153817,4.324686,0.314785,5,31
5390,0,0,4725,1178,2788,0,0,0,0,8540,4897,0,5168,0,4884,3520,0,0,0,0,0,18,0,0,0,44,0,0,0,2940,0,0,0,3024,0,0,0,3024,0,0,0,3182,0,0,0,2494,0,-4.974757,-0.404096,0.314786,4,31
3036,0,0,5561,1638,2501,0,0,0,0,8890,3100,0,6468,0,6888,4940,0,2680,0,0,3431,2640,0,0,0,2829,0,0,1085,2760,0,0,320,2940,0,0,3431,2870,0,0,0,2911,0,0,1120,2970,0,-3.974079,-0.294681,0.314788,3,31
0,0,0,1314,0,0,7290,0,0,0,1027,1425,0,0,0,0,0,0,0,0,6039,0,0,4380,26230,0,0,3132,18666,0,0,3465,6324,0,0,1311,48032,0,0,2184,33150,0,0,5320,0,1404,0,3240,-5.786549,15.906093,0.1289,16,4
0,0,0,1188,0,0,8350,0,0,0,1053,1500,0,0,0,0,0,0,0,0,8906,0,0,3872,32248,0,0,3328,24696,0,0,2835,6466,0,0,2940,42050,0,0,2968,38092,0,0,4240,0,2508,20,3078,-5.768938,15.993448,0.128903,17,4
0,0,0,1240,0,0,9636,0,0,0,345,756,0,0,0,0,0,20800,0,0,10388,30176,0,4477,29280,0,3840,3960,22110,48146,20394,6118,10442,27492,612,3872,48604,58088,37842,3720,55506,45021,63640,6480,1258,69719,23368,7869,-5.124627,15.15508,0.128893,15,4
0,0,0,1911,0,0,9944,0,0,0,0,1702,0,0,0,0,0,63441,25080,0,8756,79610,42476,5418,33504,0,46930,4830,24880,80625,73440,5852,10584,84170,66584,4620,51328,92389,108100,4900,91653,84148,88179,1984,51642,73283,40135,294,-4.790365,14.213078,0.128892,14,4
13608,0,0,2106,0,0,23712,0,0,0,1349,2400,0,0,0,0,25012,17595,23004,0,11001,10005,25380,1260,29592,0,18669,2144,24288,14256,20625,1209,11542,14012,40656,6055,33356,9990,28016,5635,103737,19205,17289,0,115500,13832,27468,0,-4.785531,13.154025,0.128893,13,4
117465,0,0,1976,0,28272,33235,0,0,0,1407,2331,0,0,0,0,102410,28245,33082,0,8925,39092,28194,0,11800,0,31460,0,14271,29088,26883,0,8208,41055,24525,3596,18000,36300,23300,5883,56856,27707,25248,0,84624,26976,8208,0,-5.619601,11.715347,0.128893,12,4
77252,0,0,2736,0,53694,32499,0,0,0,880,1782,0,0,0,0,72376,11050,10773,0,10105,19300,8236,0,26660,0,4950,0,17395,9581,1554,0,10682,14706,0,9360,29498,13536,0,10199,53505,6496,1806,0,67949,6592,22446,0,-4.179763,11.235326,0.128893,11,4
54085,0,0,2100,0,37296,46872,0,0,0,1632,2275,0,0,0,0,49950,25344,27500,0,10058,26676,22927,0,12062,0,19998,0,11592,22700,14496,0,9798,29748,12444,2450,23392,28428,8330,3610,2964,19608,13832,0,61348,19760,17864,0,-4.176159,10.168921,0.128892,10,4
31668,0,0,1974,0,27600,21114,0,0,0,2990,990,0,0,0,0,29319,19631,20202,0,7844,20300,19200,0,0,0,18460,0,8515,18850,17733,0,1155,8316,11218,0,8662,10478,14280,0,0,19760,16768,0,24649,16646,4284,0,-4.954189,8.678946,0.1289,9,4
26307,0,0,3080,0,15535,0,0,0,0,357,3096,0,0,0,3441,26524,3132,11960,0,3564,10089,11908,0,7140,0,11800,0,5781,5724,11232,0,3002,5251,13197,0,7050,9912,11760,0,0,483,11316,0,0,5564,4094,0,-6.377179,6.347766,0.128893,8,4
21090,0,0,2574,2924,12087,0,0,0,0,36,2987,0,0,0,0,20164,12087,9009,0,9434,13969,10971,0,3900,0,9454,0,6110,9405,11913,0,7440,15810,12896,0,2400,14455,11343,0,0,12992,11448,0,0,13104,4176,0,-3.949317,6.953042,0.128893,7,4
12284,0,0,4059,2993,8646,0,0,0,0,3060,2412,0,6480,0,6480,15841,10626,8236,0,3700,12730,7784,0,2600,0,7884,0,4680,11098,4770,0,3366,7973,7840,0,0,520,7384,0,0,8320,4576,0,0,5369,4004,0,-4.948263,4.947204,0.128895,6,4
5640,33264,0,0,0,4107,0,31488,124709,19007,0,65648,0,0,0,0,6480,3280,2484,0,0,5842,2304,0,0,0,2205,0,0,3256,1890,0,0,3216,3016,0,0,5715,3424,0,0,2829,1764,0,0,3080,0,0,-0.224614,-9.164309,0.90174,9,17
6468,18190,0,0,0,3300,0,40504,123417,14427,0,94234,0,0,0,0,3403,4598,3348,0,0,4816,3103,0,0,0,2640,0,0,5160,3132,0,0,5544,3333,0,0,4056,3850,0,0,2952,3552,0,0,3922,0,0,-0.175523,-8.982794,0.878012,8,17
6256,42441,0,0,27470,4181,0,55480,86940,14880,0,66340,0,0,0,0,6345,5750,4032,0,0,5969,3996,0,0,0,4032,0,0,5704,4144,0,0,6192,4180,0,0,5842,4068,0,0,5922,4332,0,0,5704,0,0,-0.040866,-7.967508,0.88174,7,17
6486,50960,0,0,23460,4403,0,0,83980,9766,0,71272,0,0,0,0,7191,4386,4408,0,0,6916,3910,0,0,0,4484,0,0,6500,4176,0,0,6834,4560,0,0,6783,3744,0,0,3738,4522,0,0,6450,0,0,0.015162,-6.988259,0.895349,6,17
8555,68052,0,0,34220,5580,0,0,71904,0,0,70744,0,0,0,83420,7488,7656,2840,0,0,6026,5520,0,0,0,2409,0,0,3871,4680,0,0,4233,5781,0,0,6026,5734,0,0,7772,4961,0,0,3840,0,0,0.144362,-5.98907,0.87824,5,17
8400,88430,0,0,3760,5632,0,0,46948,0,0,62729,0,0,0,72065,6624,7535,5375,0,0,7840,5375,0,0,0,5544,0,0,7344,5375,0,0,7952,5760,0,0,7700,5588,0,0,7728,5842,0,0,7344,0,0,0.19888,-4.951244,0.892759,4,17
6045,81600,0,0,7872,4655,0,0,48279,0,0,42665,0,33215,0,76788,6536,6063,4224,0,0,6192,4224,0,0,0,4257,0,0,6063,4352,0,0,6468,4620,0,0,6192,4420,0,0,6248,4454,0,0,6020,0,0,0.136534,-3.981969,0.877901,3,17
700,0,0,0,0,3570,0,55440,73814,19256,0,0,0,0,0,0,770,4212,2900,0,0,4440,2929,0,0,0,3030,0,0,4212,3724,0,0,5217,1764,0,0,3744,3432,0,0,4290,3800,0,0,4815,0,0,3.180314,-9.488709,0.883995,10,17
8684,0,0,32379,12558,7644,0,0,21888,0,0,0,0,65766,25365,0,8466,6512,6716,0,0,6992,6570,0,0,0,6570,0,0,6512,4032,0,0,3870,4788,0,0,3840,4096,0,0,3780,3875,0,0,3625,0,0,2.971113,0.350069,0.894728,2,17
9222,0,0,32508,8648,9016,0,0,20145,0,0,0,0,76050,25056,0,10380,8060,7852,0,0,8745,7701,0,0,0,7650,0,0,8008,3048,0,0,3429,4256,0,0,2968,3483,0,0,3276,3750,0,0,3125,0,0,1.861589,0.548888,0.891869,1,17
0,13325,0,0,0,3737,0,10494,0,0,0,0,0,9900,0,0,0,0,1155,0,0,0,2926,0,0,0,3870,0,0,0,4563,0,0,0,3276,0,0,0,4407,0,0,0,1659,0,0,0,3584,0,-6.848226,-11.238379,0.900877,13,27
0,9696,0,0,0,2706,0,12078,0,0,0,0,0,11392,0,0,0,0,1682,0,0,0,3198,0,0,0,4816,0,0,0,4902,0,0,0,4104,0,0,0,4256,0,0,0,2632,0,0,0,3630,0,-6.807991,-11.070957,0.882911,12,27
0,16720,0,0,0,2904,0,13293,0,0,241280,0,0,13277,0,0,0,0,2378,0,0,0,1792,0,0,0,4600,0,0,0,5130,0,0,0,2701,0,0,0,2698,0,0,0,4753,0,0,0,861,0,-6.371298,-10.109537,0.893786,11,27
0,20145,0,0,159165,2664,0,15300,0,0,241500,0,0,15015,0,0,0,0,442,0,0,0,145,0,0,0,2175,0,0,0,1971,0,0,0,1380,0,0,0,1750,0,0,0,2146,0,0,0,4840,0,-6.121826,-9.123437,0.895936,10,27
0,22533,0,0,141480,4800,0,0,0,0,69168,56848,0,13735,0,12412,0,0,0,0,0,0,2400,0,0,0,1875,0,0,0,0,0,0,0,1380,0,0,0,558,0,0,0,0,0,0,0,3875,0,-5.607489,-8.250237,0.885409,9,27
0,24920,0,0,85701,5125,0,0,0,0,53856,23040,0,15695,0,24930,0,0,2812,0,0,0,6125,0,0,0,416,0,0,0,4352,0,0,0,6110,0,0,0,6370,0,0,0,6413,0,0,0,5720,0,-5.22057,-7.325929,0.889771,8,27
0,35200,0,0,58322,4320,0,0,0,0,73569,26496,0,7373,0,25047,0,0,728,0,0,0,3300,0,0,0,1105,0,0,0,9048,0,0,0,9381,0,0,0,9381,0,0,0,9982,0,0,0,8614,0,-5.760454,-5.539636,0.876856,7,27
0,50279,0,0,51342,7668,0,0,0,0,77976,25080,0,21408,0,22707,0,0,8151,0,0,0,8094,0,0,0,3038,0,0,0,10395,0,0,0,11661,0,0,0,11592,0,0,0,12556,0,0,0,8220,0,-5.447205,-4.340784,0.884495,6,27
0,0,0,4576,7336,0,39650,0,0,0,3071,0,0,0,0,0,0,52110,0,0,42600,48555,0,14700,152152,0,0,13536,66,45045,0,14527,42721,0,0,10148,0,0,0,10440,0,0,0,18396,0,0,0,14980,-2.204067,13.830991,0.883822,14,27
0,0,3332,4686,1921,0,34336,0,0,0,1980,0,0,0,0,0,0,52832,0,0,23088,43296,0,14861,98276,0,0,13838,70478,51584,0,14544,36540,0,0,10440,205779,0,0,10560,0,0,0,16128,0,0,0,17716,-2.338533,14.838456,0.89511,15,27
0,0,8008,5762,0,0,29430,0,0,0,1316,0,233550,0,0,0,0,101265,0,0,50935,0,0,12780,232672,0,0,11356,169074,70253,0,18879,36386,0,0,9434,270112,0,0,8512,201539,124968,0,23618,0,98368,162144,23400,-2.625206,15.794394,0.87969,16,27
0,0,17845,5720,0,0,23328,0,0,0,3280,0,199920,0,0,0,0,0,0,0,29376,0,0,9912,127721,0,0,9348,115544,0,0,14040,10452,76946,0,12096,135505,69768,0,7670,295001,59451,0,19912,0,53298,87150,20240,-2.838921,16.810111,0.895746,17,27
131586,0,0,2780,0,68370,44840,0,0,0,7200,6072,0,0,0,0,57728,0,48120,0,8415,0,57652,0,16315,0,63571,0,14280,0,55476,0,8930,0,76670,0,18009,0,71068,0,34241,0,60340,0,41915,0,14848,0,-8.187814,9.774257,0.901668,12,1
18426,0,0,6278,0,76725,42822,0,0,0,6566,7228,0,0,0,0,86271,43008,38199,0,17226,31212,49266,0,48720,0,33408,2320,37917,31174,46740,0,15400,36225,64320,15192,55388,29680,53436,15264,202426,48140,44220,0,138380,40660,33306,0,-3.963805,12.381906,0.898433,13,1
83825,0,0,8262,6493,72576,60830,0,0,0,2070,8784,0,0,0,0,76936,40248,48020,0,18496,39680,47539,0,47300,0,40500,1991,38024,35802,32745,0,38497,33156,43896,24320,89117,33170,37848,24346,0,32760,28350,0,258942,28512,56416,0,-3.135328,11.565484,0.889924,11,1
62624,0,0,8892,7367,54000,91580,0,0,0,9024,4288,0,0,0,0,59829,33170,41000,0,37310,37278,39852,0,102333,0,35453,0,83636,31694,28017,0,27621,28615,34299,27072,171,26505,30076,28028,0,26040,26016,0,0,24390,27180,0,-2.478665,10.706805,0.885393,10,1
49731,0,0,10431,5280,43420,74556,0,0,0,6946,0,0,0,0,0,47747,28381,33744,0,24057,31270,32523,0,0,0,32230,0,39198,28381,26000,0,38354,27027,30174,10414,0,25608,26700,23068,0,24180,24480,0,0,22590,56700,0,-1.838929,9.822952,0.893093,9,1
35143,0,0,8880,6815,32657,0,0,0,0,8372,0,0,0,26334,0,33880,21489,25480,0,36840,23660,24929,0,0,0,24672,0,0,21576,22590,0,25596,23580,26928,1750,0,22098,24087,11808,0,21500,21648,0,0,20169,29160,0,-1.123118,8.88963,0.893374,8,1
29680,0,0,13134,7248,25970,0,0,0,0,4768,0,0,0,95202,0,21406,17862,21032,0,0,20076,20468,0,0,0,20382,0,0,18012,17577,0,0,18063,20184,0,0,17143,18343,0,0,16478,16536,0,0,15600,112,0,-0.190585,7.951211,0.888817,7,1
18306,0,60909,19516,11319,19749,0,0,12600,0,0,0,0,0,79430,0,8480,12988,15504,0,0,13790,15150,0,0,26,14800,0,0,12920,12090,0,0,11907,12139,0,0,11470,12606,0,0,11284,11346,0,0,10740,0,0,1.878894,6.741538,0.884182,6,1
11032,0,0,23674,8288,13333,0,0,11214,0,0,0,0,0,37695,0,10638,6929,8055,0,0,6786,7876,0,0,9408,7257,0,0,6929,7200,0,0,7314,8007,0,0,6864,7296,0,0,6975,6750,0,0,6688,0,0,3.020874,5.163134,0.877318,5,1
12155,0,0,26611,7900,11532,0,0,13248,0,0,0,0,0,32865,0,11594,8262,8500,0,0,2664,8957,0,0,0,8183,0,0,8313,7003,0,0,6996,6751,0,0,6864,6840,0,0,7038,6705,0,0,6688,0,0,2.939319,4.029575,0.893091,4,1
8510,0,0,32760,8415,11456,0,0,16080,0,0,0,0,24167,36308,0,9200,8372,9130,0,0,8300,9075,0,0,0,8802,0,0,8372,6854,0,0,7314,7222,0,0,6864,6992,0,0,6840,6216,0,0,6688,0,0,2.714644,2.906902,0.892508,3,1
8976,0,0,38295,9450,10416,0,0,5775,0,0,0,0,53531,32816,0,8624,7956,7020,0,0,3015,7905,0,0,0,6200,0,0,6820,6235,0,0,6665,2759,0,0,6536,4232,0,0,6150,5904,0,0,6216,0,0,2.528948,1.595136,0.889003,2,1
10432,0,0,23940,14381,9198,0,0,10858,0,0,0,0,97644,15768,52761,5850,10800,10920,0,0,9849,10147,0,0,0,10920,0,0,11890,2976,0,0,2275,5040,0,0,2340,4797,0,0,5850,2212,0,0,3160,0,0,1.953225,-0.378884,0.871051,1,1
0,0,26410,12844,690,0,0,0,0,0,0,0,49842,0,0,0,0,22704,0,236160,93219,19368,0,20445,0,69768,0,18758,0,22704,0,14910,44649,0,0,10679,180564,0,0,10920,0,0,0,19572,0,0,0,18080,2.723047,13.759017,0.889709,14,1
0,0,21156,8990,5546,0,0,0,0,0,4514,0,28103,0,0,0,0,38357,0,188964,64218,0,0,13534,118184,91600,0,12740,207936,26311,39150,14184,25123,183380,84434,9460,90616,168516,141220,9744,240845,135168,150480,16709,0,134932,17442,16880,1.093431,14.975997,0.889854,15,1
0,0,19090,7830,5265,0,0,0,0,0,1872,0,93366,0,0,0,0,0,0,0,76718,0,0,12716,245700,65565,0,11830,198484,0,132004,9850,13674,152322,138060,7866,61690,156954,144196,7568,132820,106700,145848,0,35088,112924,27176,0,0.264215,16.034561,0.884837,16,1
0,0,19620,7448,7,0,16380,0,0,0,6327,0,146160,0,0,0,0,0,0,0,30876,0,0,10048,115598,0,0,5472,118650,0,122973,7252,11544,136656,139655,7774,56448,137190,142880,3312,115920,105672,136530,0,50760,105777,23046,0,-2.185623,16.867501,0.880973,17,1
759,0,0,0,0,3348,0,117401,23025,24108,0,0,0,0,4590,0,3540,3348,2912,0,0,3441,2884,0,0,0,2884,0,0,3270,2884,0,0,3584,2052,0,0,3441,1680,0,0,3410,2912,0,0,3240,0,0,4.842579,-7.026763,0.863545,8,23
0,0,0,0,6448,4515,0,172920,28227,38780,0,0,0,0,6834,0,42,4752,4080,0,0,4218,4080,0,0,0,3978,0,0,4687,3978,0,0,4928,30,0,0,4400,1442,0,0,4360,4120,0,0,4601,0,0,4.29833,-6.741223,0.837104,7,23
0,0,0,0,15477,3552,0,0,7752,18648,0,0,0,0,0,0,4046,3762,3132,0,0,3036,2842,0,0,0,3132,0,0,3648,2407,0,0,3894,3300,0,0,2772,1914,0,0,2970,2212,0,0,3616,0,0,3.398308,-6.089469,0.859338,6,23
0,0,0,0,20925,3304,0,0,30797,43875,0,8220,0,0,0,0,3799,3960,2392,0,0,3712,2912,0,0,0,2002,0,0,3003,2673,0,0,2958,1836,0,0,3712,1403,0,0,3795,2072,0,0,2752,0,0,2.7061,-5.324728,0.852639,5,23
0,0,0,0,25190,4408,0,0,51480,2992,0,80736,0,0,0,60520,6075,5166,4104,0,0,5292,4255,0,0,0,4255,0,0,5166,4218,0,0,5504,2701,0,0,5292,4181,0,0,5125,4255,0,0,5166,0,0,1.681949,-4.697175,0.841823,4,23
6132,75270,0,0,16252,5292,0,0,25425,0,0,52398,0,0,0,54264,5110,5360,4636,0,0,5480,4636,0,0,0,4636,0,0,5719,4636,0,0,5658,4914,0,0,5440,4712,0,0,5400,4588,0,0,5187,0,0,0.359552,-3.96981,0.845775,3,23
30,67100,0,0,14260,5412,0,0,26690,0,0,40796,0,50141,0,54960,6840,5754,4992,0,0,6063,4953,0,0,0,4992,0,0,5754,4826,0,0,6336,5109,0,0,6063,5031,0,0,6020,5031,0,0,5754,0,0,0.277245,-2.919108,0.848455,2,23
