Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,x_position,y_position,z_position,unit_distance_from_origin,unit_id
0,0,0,0,5661,0,16692,0,0,0,0,0,-8.878082,-17.90933,0.788897,19,183
0,0,1148,0,330,0,0,0,0,0,0,0,-8.381766,-16.982218,0.799404,18,183
0,136,5265,0,1672,0,12824,0,0,27552,0,0,-8.320536,-15.958081,0.803981,17,183
0,0,0,0,10974,0,8568,0,0,50274,0,0,-8.886954,-14.449821,0.79646,16,183
0,0,0,0,13943,0,903,0,0,44450,0,0,-9.001502,-13.197523,0.803921,15,183
0,0,0,0,13510,0,3078,0,0,33384,0,0,-8.750742,-12.16019,0.797819,14,183
0,52,0,0,18920,0,10336,0,0,25740,0,0,-8.436937,-11.171854,0.804419,13,183
0,638,0,4560,19292,0,11700,0,0,0,0,0,-7.547827,-10.569971,0.78997,12,183
0,2650,0,38250,13651,0,26596,0,0,0,0,0,-6.437261,-10.109703,0.794864,11,183
2520,8236,18070,44988,18164,3472,1739,0,0,0,0,0,-4.346358,-10.092912,0.798493,10,183
0,7068,837,29104,13005,23324,0,0,48032,288,0,0,-4.500895,-8.91819,0.798462,9,183
28800,11661,20253,23184,26555,60,0,1380,0,0,0,0,-1.032419,-11.193635,0.902598,11,453
32589,13520,16383,26675,27864,1600,0,18634,0,0,0,0,-0.632949,-10.97819,0.881415,10,453
27599,20227,16218,20336,22420,0,0,15984,0,0,0,0,0.629103,-9.976854,0.890126,9,453
34300,25842,15576,30480,5850,55728,0,10561,0,4509,28997,0,0.300997,-8.982603,0.86318,8,453
22533,14800,16704,26010,25200,0,0,3675,0,0,0,0,-0.090206,-12.00149,0.876711,12,453
15554,7426,14186,28034,20855,0,0,0,0,0,0,0,-0.711772,-13.000906,0.882047,13,453
17160,11088,15438,28928,13668,0,0,0,0,0,0,0,-0.275203,-14.016294,0.886135,14,453
11040,7830,10519,24514,13724,0,0,0,0,0,0,0,0.303789,-15.030807,0.893056,15,453
0,0,0,2450,0,18744,0,9964,2412,12950,1178,40018,4.429946,-2.638571,0.940285,5,351
8001,0,0,20437,0,23980,0,10149,0,261,6909,31581,3.649646,-4.803313,0.921053,6,351
20250,0,0,16100,0,13425,0,8844,0,0,26404,29068,3.65122,-6.002566,0.933751,7,351
8740,14476,0,13072,0,0,0,10260,0,0,34040,56151,3.368297,-7.258085,0.923397,8,351
17992,19980,0,5915,0,0,0,6431,0,0,42525,50512,4.207789,-7.978444,0.90973,9,351
21420,48360,27213,10395,0,0,0,4185,0,0,41316,49588,4.432754,-8.969534,0.913372,10,351
14442,35280,27948,6970,0,0,0,10680,0,0,25599,45820,4.630824,-9.995335,0.922059,11,351
18360,35908,23920,10070,0,0,0,17751,0,0,410,0,4.204938,-11.249623,0.913665,12,351
8892,50630,35805,0,0,0,0,8965,0,0,0,25856,7.459076,-10.710137,0.921176,13,351
0,486,12402,0,1920,0,18459,0,0,15958,0,0,-7.554021,-15.96792,0.983044,17,182
0,0,0,0,18531,0,22015,0,0,54284,0,0,-9.231238,-15.467549,0.978012,18,182
0,0,0,0,14839,0,11895,0,0,8740,0,0,-9.546618,-16.471245,0.970036,19,182
0,0,132,0,14896,0,23856,0,0,0,0,0,-8.90265,-17.923695,0.953321,20,182
0,162,23409,0,444,0,26928,0,0,0,0,0,-8.453795,-19.22913,0.963869,21,182
0,1040,13456,0,13167,0,25032,0,0,0,0,0,-7.013954,-15.439774,0.97459,16,182
0,504,13920,0,16128,0,33670,0,0,60,0,0,-6.983962,-14.393463,0.968329,15,182
0,1170,0,0,9159,0,17143,0,0,697,0,0,-7.41384,-13.021697,0.970497,14,182
8142,5117,30976,342,13608,0,50160,0,0,12500,0,0,-4.395471,-13.241539,0.96543,13,182
16946,7021,32786,52975,22560,0,68452,0,0,0,0,0,-4.378617,-12.221469,0.97256,12,182
49141,6566,38577,44688,15730,0,42770,0,0,0,0,0,-3.922553,-11.2928,0.977977,11,182
16461,8856,23506,48162,26784,14868,456,0,0,3186,0,0,-4.124552,-10.190309,0.975295,10,182
0,90,0,0,0,20418,0,2501,21675,10864,17775,10001,-0.752465,-3.726719,0.955869,3,350
0,0,0,0,0,20003,0,24552,23912,9747,17680,39750,0.14393,-2.958151,0.944718,2,350
0,0,0,0,0,13992,0,39060,11752,0,18180,0,-0.764984,-1.815413,0.932792,1,350
0,0,0,0,0,11385,0,26900,8050,1050,12672,12896,0.112168,-0.982373,0.941917,0,350
0,0,0,26532,0,27664,0,5402,40584,2460,21476,77724,0.37957,-3.983141,0.942253,4,350
0,2132,0,0,0,23465,0,23450,14310,8448,12411,0,-3.923608,-3.099788,0.950793,5,350
0,16016,0,62008,1092,28078,0,23247,36110,13926,112,0,-3.64432,-4.809595,0.949669,6,350
0,12648,0,57782,0,32079,0,37310,42575,15200,0,0,-3.928907,-5.805423,0.948885,7,350
0,5312,0,49368,6795,36540,0,39150,47291,12060,0,0,-4.35481,-6.711598,0.951106,8,350
0,7520,0,54285,43550,37680,0,9288,43172,9398,0,0,-5.131075,-7.425597,0.930551,9,350
0,4428,0,28884,32760,29008,0,0,60375,13915,0,0,-5.584207,-8.306238,0.935224,10,350
0,6615,2795,55386,26496,6419,7616,0,32190,660,0,0,-4.855464,-9.872966,0.945591,11,350
23,6615,26243,73902,21760,0,45373,0,0,0,0,0,-4.618681,-11.123353,0.93792,12,350
22308,35319,0,6688,0,0,0,8976,0,0,28612,42362,3.126606,-7.783001,0.919315,8,616
19936,35280,880,3024,0,0,0,7059,0,0,34450,35112,3.365598,-8.381284,0.903894,9,616
21901,36666,23120,11745,0,0,0,4802,0,0,33960,30940,3.684929,-9.311721,0.889275,10,616
15580,29382,23005,13310,0,0,0,16016,0,0,18034,391,3.876571,-10.298924,0.878163,11,616
12110,23616,14852,5488,0,0,0,13206,0,0,0,0,3.772142,-11.446236,0.918533,12,616
9588,48000,16588,351,0,0,0,5846,0,0,0,16274,6.631979,-11.210607,0.913038,13,616
14195,23920,14560,6716,0,0,0,14960,0,0,0,0,4.410302,-13.299333,0.889061,14,616
21014,12669,0,20313,0,0,0,9735,0,0,28710,53550,3.423664,-7.218097,0.892419,7,616
12078,0,0,15484,0,14018,0,8000,0,0,24024,47655,3.205041,-6.199437,0.908576,6,616
13936,0,0,20564,0,33768,0,9016,0,4293,22428,54144,2.996461,-5.185753,0.907841,5,616
0,0,0,7546,0,16915,0,2176,98,8094,10672,46400,2.98643,-4.006008,0.90647,4,616
0,0,0,0,0,17325,0,14606,26474,3144,12152,57408,2.888616,-2.73285,0.897714,3,616
