Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,Camera_0012,Camera_0013,Camera_0014,Camera_0015,Camera_0016,Camera_0017,Camera_0018,Camera_0019,Camera_0020,Camera_0021,Camera_0022,Camera_0023,Camera_0024,Camera_0025,Camera_0026,Camera_0027,Camera_0028,Camera_0029,Camera_0030,Camera_0031,Camera_0032,Camera_0033,Camera_0034,Camera_0035,Camera_0036,Camera_0037,Camera_0038,Camera_0039,Camera_0040,Camera_0041,Camera_0042,Camera_0043,x_position,y_position,z_position,unit_distance_from_origin,unit_id
0,0,675,6,15453,1274,0,110,0,0,1147,0,0,0,23375,630,0,0,0,4914,0,0,2205,0,0,0,2856,2432,0,612,0,1537,0,0,0,2268,0,0,2100,1508,0,0,0,3886,-3.8360404838252045,14.500392695280855,0.31472728082024076,14,36
0,11550,2120,3350,4455,0,2380,1728,0,0,0,0,0,0,0,0,24,0,0,0,20817,0,6372,31928,0,0,10192,13452,0,0,5338,0,24552,52440,22149,8120,0,0,5088,0,0,0,0,0,3.7442625761032104,7.134807109832764,0.1288912631571293,8,27
0,12064,1980,3013,2225,132,2112,1584,0,0,0,0,0,0,0,0,0,0,0,0,14994,0,8695,51170,0,0,13000,16951,0,0,4828,0,31008,41605,30690,5764,0,0,0,0,0,0,0,0,3.8163635624052388,7.022511006270385,0.12889139463061244,7,27
0,4545,2808,3120,2835,5330,2544,4480,0,0,0,0,0,0,0,0,0,0,0,0,17612,1890,4752,11468,0,0,18886,17664,0,0,5510,1472,25886,25389,13527,9888,0,0,5187,0,0,0,0,0,2.6287557028179847,6.48548217542515,0.12889143083479143,6,27
4560,4738,0,3406,4760,8056,2496,3969,0,0,0,0,0,0,0,0,0,0,0,0,7598,9374,10962,0,3960,0,8211,19166,0,0,588,7904,5244,15743,0,8820,0,0,3234,0,0,0,0,0,1.2460660343382917,5.861525509580728,0.1288916987723142,5,27
9200,5577,3276,3125,3604,5658,4433,3375,0,0,0,0,0,0,0,0,0,7434,0,0,0,0,5733,0,38772,31920,21690,21627,0,0,0,8050,16830,5760,0,4646,0,0,12,0,0,0,0,0,-0.8031124144250675,4.933523411517164,0.12889194344041777,4,27
16585,0,2304,288,12141,3660,0,240,0,0,49912,0,0,0,0,448,0,0,0,10976,0,0,0,0,0,27720,7808,6420,0,0,0,4510,1029,11648,0,0,0,0,6972,3420,0,0,0,0,-3.5220830390226663,8.285017141389707,0.12889246062958404,9,27
24570,0,2277,289,14499,5408,0,920,0,0,49200,0,0,0,0,18576,0,0,0,16016,0,0,0,0,0,23550,4675,5459,0,680,0,2479,0,11220,0,0,0,0,5814,2781,0,0,0,0,-3.8426735519132733,9.238372878506045,0.12889251421489023,10,27
3360,1134,11400,0,0,920,9387,6300,0,47040,0,12742,33005,0,0,0,0,7473,0,0,0,4400,0,0,12096,0,0,0,0,0,0,18316,2688,1953,0,0,0,0,0,0,0,16800,0,0,-2.7659234738537575,-2.885830070917466,0.12890393300116273,3,27
3456,924,8320,0,0,1040,5488,2240,0,2856,0,5704,43550,0,0,0,0,6834,0,0,0,5292,0,0,13216,0,0,0,0,0,0,56571,336,2838,0,0,0,0,0,0,0,24600,0,0,-2.2994487844331575,-1.9148808534888104,0.1288922815422407,2,27
1150,1416,6496,4223,0,1701,3773,2940,0,0,0,0,61074,0,0,0,0,10507,0,0,0,5936,0,0,14848,0,0,0,0,0,0,47965,2060,2590,0,0,0,0,11781,0,0,36252,0,0,-1.7904514085935777,-0.8717801337929431,0.12889216798414574,1,27
5624,2175,4042,8924,2310,0,2520,5549,0,0,0,0,0,0,0,0,15996,19367,0,0,0,8100,85,0,11610,0,16590,230,0,0,6336,4216,6080,4550,0,0,0,0,1110,0,0,91767,0,0,0.47659337177897937,0.8771889715740739,0.1288918953087987,0,27
1824,0,50958,0,0,0,43608,0,0,7788,0,9202,11820,4840,0,0,0,2494,0,0,0,1352,0,0,0,0,0,0,0,0,0,0,1558,0,0,0,28274,40810,0,0,0,3388,0,0,-7.1432297250895385,-8.368009025228694,0.12889272186628775,11,27
1860,196,0,0,0,0,7840,0,0,6307,0,8904,10528,4181,0,0,0,1595,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,1520,0,0,0,15587,37973,0,0,0,3440,0,0,-7.7793218164035505,-9.140294652422767,0.12889313525815424,12,27
6164,4551,35275,0,0,0,30394,15616,5680,39243,0,35424,25392,22881,0,0,0,12931,0,0,0,9180,0,0,17316,0,0,0,0,0,0,64515,7248,6992,0,0,214684,0,0,0,0,5510,0,0,-2.8998276998819477,-5.3722586289079555,0.9008769034001034,6,14
3510,4212,66410,0,0,0,46698,15774,0,41912,0,7293,14906,23716,0,0,0,10374,0,0,0,8640,0,0,13020,0,0,0,0,0,0,712,6278,7488,0,0,129285,0,0,0,0,20800,0,0,-3.670792766545773,-5.987552783988519,0.8951558239865278,7,14
5842,2470,115774,0,0,0,63210,26910,0,31304,0,32604,24384,19092,0,0,0,8840,0,0,0,8208,0,0,21285,0,0,0,0,0,0,0,6300,6615,0,0,108744,181968,0,136535,0,20496,0,0,-4.523838467302834,-6.605928433431288,0.8846342722321765,8,14
1749,3960,148473,0,0,1407,86376,16632,0,26481,0,21098,14892,17347,0,0,0,8195,0,0,0,7938,0,0,0,0,0,0,0,0,0,0,6394,6288,0,0,101270,88500,0,134082,0,19824,0,0,-5.45320486030705,-7.22785862596043,0.8917617224375363,9,14
6954,3816,192570,0,0,2580,122385,0,0,11745,0,25152,27715,14861,0,0,0,8321,0,0,0,6394,0,0,0,0,0,0,0,0,0,0,3800,4960,0,0,92196,122129,0,108800,0,17958,0,0,-6.236363103751287,-7.830814771872731,0.887804619973906,10,14
3872,3432,214620,0,0,3990,174135,0,0,18240,0,12402,15708,12922,0,0,0,6644,0,0,0,3780,0,0,0,0,0,0,0,0,0,0,2320,2009,0,0,66374,60784,0,111066,0,15264,0,0,-7.050306627475614,-8.48351749116759,0.890251540470274,11,14
4879,3876,283388,0,0,5328,236785,0,0,16492,0,25272,18252,12250,0,0,0,6956,0,0,0,5865,0,0,0,0,0,0,0,0,0,0,6272,2814,0,0,29309,51448,0,123444,0,17922,0,0,-7.863938024616267,-9.080539434082542,0.8862808650754914,12,14
4446,3072,307665,0,0,2646,315060,0,0,13987,0,15378,19749,10530,0,0,0,6256,0,0,0,5175,0,0,0,0,0,0,0,0,0,0,675,4440,0,0,0,48625,0,0,0,14896,0,0,-8.70600857085251,-9.721021477326795,0.8976042930842709,13,14
2040,1769,0,0,0,2701,193662,0,0,12784,0,19380,17680,10205,0,0,0,6392,0,0,0,4998,0,0,0,0,0,0,0,0,0,0,4356,3852,0,0,0,44526,0,0,0,12032,0,0,-9.411417061310672,-10.416175979358897,0.8889776427379275,14,14
5888,4270,0,0,0,0,27016,9728,45144,44128,0,43310,17005,19345,0,0,0,12540,0,0,0,8450,0,0,9840,0,0,0,0,0,64638,0,7152,7956,0,0,196732,0,0,0,0,23403,0,0,-2.0215898549662654,-5.626954837823188,0.895553283192271,5,14
5805,5544,32395,0,0,0,30160,19106,32100,78750,0,17875,25317,16571,0,0,0,15732,0,0,0,11403,0,0,17316,0,0,0,0,0,0,115868,7268,9699,0,0,268424,0,0,0,0,30500,0,0,-2.126763995073702,-4.501484845907179,0.8833066461901353,4,14
3024,4752,42746,0,0,0,24831,14490,0,77280,0,36408,25647,0,0,0,0,15400,0,0,0,12988,0,0,16259,0,0,0,0,0,0,111795,9296,10248,0,0,0,0,0,0,0,37629,0,0,-1.7649056985587332,-3.5572119356225134,0.8935060201819169,3,14
8732,5848,28012,0,0,0,5796,18614,0,78997,0,0,44016,0,0,0,0,21620,0,0,0,12462,0,0,20768,0,0,0,0,0,5871,87398,7021,10553,0,0,0,0,0,0,0,49680,0,0,-1.3543007083754333,-2.6285943773320852,0.8816252894350782,2,14
9006,5840,26235,496,0,0,5670,16112,0,0,0,0,58350,0,0,0,0,23994,0,0,0,13516,0,0,25317,0,202288,0,0,0,0,82335,11033,11346,0,0,0,0,0,0,0,58320,0,0,-1.5045710487320463,-1.2882673001492186,0.8936636423106847,1,14
13612,11858,18320,23415,9976,3498,13545,16728,0,0,0,0,48138,0,0,0,0,46781,0,0,0,27007,0,0,29590,0,134034,0,0,0,0,44286,18444,8476,0,0,0,0,96140,14200,0,0,0,0,-0.9818339017368203,-0.12355624654501707,0.8774830550423758,0,14
0,0,4256,4212,48120,22080,0,5175,0,0,20230,0,0,0,61920,40548,0,0,0,19749,0,0,7420,1470,0,0,10200,8848,38243,84747,0,7245,0,0,0,0,0,0,11115,6020,0,0,0,17064,-2.4839946718132495,14.830319819580467,0.8846334876766377,15,14
0,0,3922,3876,50244,28726,0,4752,0,0,17222,0,0,0,52302,24196,0,0,0,17220,0,0,6468,855,0,0,9440,8140,0,81329,0,9815,0,0,0,0,0,0,12765,8316,0,0,0,11592,-3.069911292803873,15.735067754635217,0.8872506584493749,16,14
0,0,391,2175,140608,16405,0,770,0,0,10660,0,0,0,25630,21680,0,0,0,11484,0,0,4680,0,0,0,4180,5805,0,46128,0,8591,65178,23100,0,19847,0,0,12296,12036,0,0,0,0,-5.3197163565782155,16.151688174584933,0.8835877382607578,17,14
5494,5590,0,0,0,0,16302,21525,59532,74152,0,0,21746,34505,0,0,0,17172,0,0,0,7410,0,0,11426,0,0,0,0,0,49500,0,6966,8900,0,0,0,0,0,0,0,30888,0,0,0.5065635324088102,-4.723127124838692,0.8820302185392563,4,11
5092,5418,0,0,0,0,23674,25389,87928,74240,0,58930,22440,31920,0,0,0,15352,0,0,0,10980,0,0,11312,0,0,0,0,0,62282,0,8109,9072,0,0,0,0,0,0,0,21164,0,0,-0.6052589166926907,-4.967469614258519,0.8912693947276864,5,11
6987,4329,72580,0,0,0,41275,18675,0,47488,0,26820,30076,0,0,0,0,15440,0,0,0,11256,0,0,20826,0,0,0,0,0,0,58705,10010,9324,0,0,172255,0,0,0,0,35424,0,0,-3.6214651355446064,-4.807099708936892,0.8791135325243431,6,11
5069,3840,65440,0,0,7102,45240,14628,0,38704,0,11169,23621,0,0,0,0,10472,0,0,0,8364,0,0,19344,0,0,0,0,0,0,83037,6426,7242,0,0,184509,312,0,82775,0,23772,0,0,-4.919027547850437,-5.034585738039674,0.8898961817471331,7,11
5628,4140,64960,0,0,5750,64014,17340,0,30740,0,17568,23120,0,0,0,0,9790,0,0,0,8008,0,0,0,0,0,0,0,0,0,0,7446,5808,0,0,27630,164498,0,97311,0,25536,0,0,-5.945150538419817,-5.408583008098901,0.8908013207851582,8,11
4932,1628,64845,0,0,1863,61006,12078,0,28455,0,17708,24300,0,0,0,0,5687,0,0,0,8721,0,0,0,0,0,0,0,0,0,0,2622,5980,0,0,0,150360,0,70760,0,7854,0,0,-7.04861932212226,-5.650687445345476,0.8922849225785399,9,11
7560,1092,93275,0,0,4332,576,2812,0,21840,0,14405,40166,0,0,0,0,10985,0,0,0,7008,0,0,0,0,0,0,0,0,0,0,2006,4797,0,0,0,211839,0,69150,0,0,0,0,-8.02593529849338,-5.977321353131472,0.8919952455490829,10,11
4192,1353,101320,0,0,1581,0,11020,0,19780,0,9917,17934,0,0,0,0,7920,0,0,0,6721,0,0,0,0,0,0,0,0,0,0,6149,4598,0,0,0,143988,0,67365,0,0,0,0,-8.961317615743837,-6.412561699197525,0.8967426797931921,11,11
4240,5504,2014,0,0,0,20992,21560,46314,82703,0,32669,30888,16380,0,0,0,18618,0,0,0,12903,0,0,10416,0,0,0,0,0,62964,0,9982,11952,0,0,0,0,0,0,0,39237,0,0,-1.0672013894912782,-3.8345215471895466,0.8763975591332382,3,11
5586,5934,28908,0,0,0,16592,16644,0,63570,0,0,38280,0,0,0,0,13416,0,0,0,12648,0,0,18018,0,0,0,0,0,17105,55104,10092,10089,0,0,0,0,0,0,0,45508,0,0,-1.1777998711040567,-2.7069069268043444,0.8903549784306506,2,11
7350,7488,25452,3432,0,0,19422,20448,0,0,0,0,58404,0,0,0,0,24346,0,0,0,17004,0,0,13680,0,76729,0,0,0,0,116848,11776,12512,0,0,0,0,0,0,0,34048,0,0,-1.2662298230307463,-1.5453206305278304,0.8793245167339592,1,11
2664,5324,0,135660,1978,0,13110,31500,12600,0,0,0,3432,7056,0,0,7399,0,0,0,4998,13172,0,0,4352,0,0,0,0,0,0,0,3800,0,0,0,0,0,0,0,47250,8624,0,0,8.225707397597276,-8.76258911750213,0.8917814344658836,12,11
2900,4485,0,0,560,0,0,253022,13332,0,0,0,8060,0,0,0,6864,0,0,0,4746,10956,0,0,4356,0,0,0,0,0,0,0,4370,0,0,0,0,0,0,0,41358,5025,0,0,8.273643496956318,-10.069572221987828,0.8949563917976775,13,11
3430,4400,0,0,60,0,0,0,16000,0,0,0,8883,0,0,0,7176,0,0,0,2516,9577,0,0,5265,0,0,0,0,0,0,0,4680,0,0,0,0,0,0,0,38413,5589,0,0,8.345614958629369,-11.241936540275645,0.8746752679589918,14,11
7866,9462,18879,5605,7050,0,13752,9030,0,0,0,0,0,0,0,0,31291,17437,0,0,0,27744,0,0,16254,0,24600,61180,0,0,19448,0,22386,13416,0,33352,0,0,31080,0,0,203067,0,0,0.6672906345880296,0.7274998226456777,0.8918816010655064,0,11
0,0,2461,3321,37673,27209,0,5782,0,0,16200,0,0,0,0,60207,0,0,0,20504,0,0,7506,11610,0,0,6384,9222,82992,126400,0,9514,0,0,16884,11174,0,0,5838,0,0,0,0,19530,-1.559851270064619,14.936489181219706,0.8911827084749,15,11
0,0,644,2884,84832,29430,0,2970,0,0,15260,0,0,0,48768,39865,0,0,0,11480,0,0,6072,0,0,0,8008,5880,0,84525,0,8479,0,0,17286,9150,0,0,6380,6837,0,0,0,31605,-3.2487067710330297,15.670547795614821,0.8913880877062784,16,11
0,0,2075,2211,167040,17936,0,2958,0,0,13735,0,0,0,21996,25474,0,0,0,10980,0,0,6370,0,0,0,8208,6958,0,41952,0,3105,0,0,12322,10731,0,0,9180,5952,0,0,0,22098,-5.28425044947206,16.207984625336703,0.889434061763875,17,11
0,0,4940,2736,275392,16692,0,1824,0,0,14726,0,0,0,71621,20315,0,0,0,8525,0,0,2090,0,0,0,3220,6148,0,32970,0,2211,0,0,8695,4620,0,0,5291,4680,0,0,0,3770,-7.127857084348031,16.533948896268143,0.8763799654252288,18,11
2312,3424,0,0,0,0,70740,0,0,19028,0,22922,17775,12663,0,0,0,8374,0,0,0,4402,0,0,1352,0,0,0,0,0,0,0,6072,3250,0,0,66120,83424,0,108028,0,16340,0,0,-4.7154226114572655,-8.534825290742672,0.9017394733464017,9,44
3960,4360,0,0,0,0,67270,20097,0,29355,0,29853,14336,16511,0,0,0,8855,0,0,0,7920,0,0,13002,0,0,0,0,0,0,0,6384,4263,0,0,71456,105000,0,0,0,18343,0,0,-4.035203052486679,-7.968206980487821,0.8908394192763502,8,44
5612,4144,0,0,0,0,57226,26818,0,34854,0,34992,21294,19712,0,0,0,8904,0,0,0,7950,0,0,13938,0,0,0,0,0,0,0,6016,4089,0,0,53504,1635,0,0,0,20504,0,0,-3.574073980971651,-7.099510782302926,0.8792799235578102,7,44
5368,3696,5408,0,0,0,42000,30500,0,41418,0,24492,22270,25688,0,0,0,10672,0,0,0,8586,0,0,17120,0,0,0,0,0,0,0,3885,7105,0,0,153228,0,0,0,0,24366,0,0,-3.2332771469727,-6.16983586672794,0.8882739905067751,6,44
5330,4880,36045,0,0,0,32960,17447,4932,43320,0,2440,21760,19720,0,0,0,12480,0,0,0,9744,0,0,15914,0,0,0,0,0,0,60557,4550,6946,0,0,192015,0,0,0,0,10824,0,0,-2.845874364978174,-5.279249918950171,0.8908208140023817,5,44
6439,4914,57040,0,0,0,32918,20184,9280,64092,0,33495,24768,497,0,0,0,13200,0,0,0,10098,0,0,21090,0,0,0,0,0,0,116085,8690,9322,0,0,220820,0,0,0,0,31605,0,0,-2.4981018728335815,-4.315440075739941,0.8894663651492181,4,44
6120,3564,39483,0,0,0,23584,20516,0,90285,0,43332,35207,0,0,0,0,17325,0,0,0,12610,0,0,19116,0,0,0,0,0,0,123488,10140,9519,0,0,0,0,0,0,0,41968,0,0,-2.056260656873567,-3.399753413691415,0.8900458130297295,3,44
3960,4587,33988,0,0,0,21335,984,0,71808,0,0,30820,0,0,0,0,18732,0,0,0,14140,0,0,16685,0,0,0,0,0,0,123952,10150,11025,0,0,0,0,0,0,0,49312,0,0,-1.5952231544310767,-2.519743559978104,0.8946479909681955,2,44
10640,3666,29810,0,0,0,20619,19046,0,0,0,0,70329,0,0,0,0,21930,0,0,0,17064,0,0,28665,0,67032,0,0,0,0,102044,7686,12025,0,0,0,0,0,0,0,64170,0,0,-1.1717721771235254,-1.5894523247340437,0.8813192014744118,1,44
7084,5928,23030,16284,5504,0,17360,11872,0,0,0,0,58460,0,0,0,0,21128,0,0,0,15960,0,0,15433,0,116808,0,0,0,12264,38872,7790,12152,0,0,0,0,0,0,0,45493,0,0,-0.5286090982906,-0.7755550161616487,0.892532498517312,0,44
32946,0,6536,6264,0,7875,0,1005,0,0,81084,0,0,0,0,12690,0,0,0,46410,0,0,0,0,0,23247,26730,20586,0,0,0,6837,0,0,0,0,0,0,16016,6120,0,0,0,10918,-5.905498089236236,8.119498898749296,0.8857455023864986,10,44
47244,0,5148,6144,0,8004,0,2260,0,0,66603,0,0,0,0,26532,0,0,0,34650,0,0,0,0,0,24288,21672,17724,0,20164,0,7130,0,0,0,0,0,0,15169,4154,0,0,0,21624,-6.363065356365837,8.977090133071869,0.8867062886465646,11,44
68096,0,799,4961,0,1254,0,4600,0,0,51054,0,0,0,233562,30444,0,0,0,27538,0,0,0,0,0,32520,18942,11115,0,31808,0,7144,0,0,0,0,0,0,12416,4070,0,0,0,11984,-6.598269040030331,10.024196771328583,0.8888040080623796,12,44
76028,0,960,3658,55350,1682,0,3248,0,0,16936,0,0,0,270320,29070,0,0,0,22962,0,0,0,0,0,36990,18445,14508,0,35380,0,5776,0,0,0,0,0,0,8448,5092,0,0,0,12626,-6.635857578066968,11.215789950709617,0.8753065915955176,13,44
82840,0,5676,4294,24064,14615,0,1088,0,0,32742,0,0,0,205884,23280,0,0,0,20003,0,0,0,0,0,28860,15075,10624,0,34038,0,9798,0,0,20097,10944,0,0,9588,0,0,0,0,48128,-7.230695631087986,12.031352912578829,0.8945839784517395,14,44
74226,0,5796,2625,33796,10089,0,285,0,0,28356,0,0,0,191352,14384,0,0,0,17171,0,0,0,0,0,18469,13561,8437,0,14204,0,5889,0,0,14271,6794,0,0,4794,0,0,0,0,60590,-7.554702092341765,12.968312978822492,0.8896988132799948,15,44
7452,0,4760,2704,179250,11269,0,500,0,0,18942,0,0,0,108058,6048,0,0,0,11368,0,0,0,0,0,15,9328,6426,0,24200,0,9048,0,0,9350,7661,0,0,5640,0,0,0,188834,87884,-7.608805660922496,14.099188862242046,0.8859168614923373,16,44
0,0,3024,2754,172788,12449,0,2727,0,0,16950,0,0,0,23861,13978,0,0,0,9381,0,0,0,0,0,0,6048,2940,0,25420,249,7567,0,0,3496,7774,0,0,312,0,0,0,193648,106005,-6.970982295802205,15.512560240887545,0.894908095322832,17,44
7776,775,21138,0,0,4795,13432,6422,0,0,0,14973,65283,0,0,0,0,10608,0,0,0,11252,0,0,36963,0,0,0,0,0,0,50676,11040,5285,0,0,0,0,103812,26299,0,0,0,0,-5.596420419824126,-1.1454936622490441,0.8635447713431772,5,34
6201,4536,20124,0,0,6580,10904,3841,0,0,0,16206,49952,0,0,0,0,17228,0,0,0,14040,0,0,22849,0,0,0,0,0,0,37293,11408,5202,0,0,0,0,100636,23572,0,0,0,0,-4.9206188594378375,-0.7683537015384871,0.8552454764612918,4,34
8996,3350,16030,0,0,6768,8576,10126,0,0,0,0,58446,0,0,0,0,25380,0,0,0,15904,0,0,36406,0,50985,0,0,0,0,37206,14760,8112,0,0,0,0,55857,23751,0,0,0,0,-3.937765598276556,0.5961940057040493,0.8484544979647524,3,34
17862,9030,7296,4158,8492,19656,7399,6318,0,0,0,0,0,0,0,0,40004,0,0,0,0,0,8584,0,0,137728,30652,19734,0,0,0,16502,27058,26370,0,2812,0,0,14076,0,0,0,0,0,0.9254990806818597,5.986671081212775,0.8556027045273709,6,34
0,8308,6864,9324,10915,22606,7100,10335,0,0,0,0,0,0,0,0,30750,0,17415,0,44541,0,19855,0,0,108174,17472,21251,0,0,0,5005,46440,31635,68145,25760,0,0,10980,0,0,0,0,0,1.6068671046052927,6.822016439281306,0.8377166030787748,7,34
0,21040,6072,5800,8722,12480,5848,9016,0,0,0,0,0,0,0,0,38157,0,60300,0,29422,0,10780,46332,0,90624,22704,18072,0,0,0,5151,45486,39690,34542,13298,0,0,4560,0,0,0,0,0,2.2708621211469477,7.681215796079115,0.8600459154336022,8,34
0,25571,5808,5040,9165,31672,5676,7222,0,0,0,0,0,0,0,0,0,0,67032,0,29970,0,9672,46585,0,88755,9360,16284,0,0,0,8694,55692,22895,28080,11330,0,0,5882,0,0,0,0,0,2.5111226953221966,8.659376403823487,0.8578701657070269,9,34
0,32623,1155,3296,16318,34560,2310,5733,0,0,0,0,0,0,0,0,0,0,61830,0,34408,0,6574,30600,0,0,16950,13054,26910,0,0,11570,90560,89676,20016,8883,0,0,8050,0,0,0,0,0,2.6921903240809844,9.640123737860982,0.8484422701426411,10,34
0,41528,2725,4940,7920,40710,1482,0,0,0,0,0,0,0,0,0,0,0,53328,0,37818,0,8684,22866,0,0,14910,14076,22542,0,572,10260,124070,81030,21238,10192,0,0,5270,0,0,0,0,90789,3.3076037164975673,10.534392824155418,0.8538694592235743,11,34
8507,8234,576,9072,7636,0,8085,9894,0,0,0,0,0,0,0,0,44016,0,0,0,0,30080,27807,0,16616,0,34350,46117,0,0,12720,0,13395,18825,0,39558,0,0,25511,0,0,104980,0,0,1.5320076589617848,2.498260994353707,0.8599766870893291,2,34
13148,8183,10758,15405,12432,0,3960,11655,0,0,0,0,0,0,0,0,69520,16218,0,0,0,25632,2666,0,30360,0,120379,74290,0,0,15210,4008,14040,15975,0,0,0,0,31270,0,0,114700,0,0,0.663412241427423,1.857040567355945,0.8558203709612826,1,34
6201,4553,17064,2100,4140,0,10730,875,0,0,0,0,0,0,0,0,31188,1380,0,0,0,19228,0,0,11613,0,0,40032,0,0,1485,41104,12420,14076,0,0,0,0,22176,0,0,100470,0,0,0.988059375878748,0.10844460980407836,0.8617408251072511,0,34
56791,0,5896,5074,0,9912,0,2943,0,0,45254,0,0,0,107464,34580,0,0,0,24621,0,0,0,0,0,35742,17024,11524,0,33604,0,19650,31125,16910,0,0,0,0,43792,13312,0,0,0,0,-6.50082564399031,10.09180187185412,0.840387102618971,12,34
66300,0,4940,3955,1132,8225,0,3240,0,0,32421,0,0,0,191224,12100,0,0,0,19404,0,0,0,0,0,16962,11440,9744,0,16140,0,17155,8704,6688,0,0,0,0,23814,12288,0,0,0,0,-6.830964558635248,11.090540252584184,0.8563428346891631,13,34
64258,0,4588,4033,46736,9912,0,3465,0,0,26136,0,0,0,141661,21150,0,0,0,17064,0,0,0,0,0,20916,10915,9971,0,27666,0,14348,0,14475,0,0,0,0,23520,11163,0,0,0,0,-7.090202221802739,12.10250236547817,0.8492495244911369,14,34
51272,0,1584,2108,106018,2442,0,2970,0,0,21141,0,0,0,128256,14874,0,0,0,13000,0,0,0,0,0,22878,9231,8164,0,9360,0,12261,0,11144,0,0,0,0,17388,8788,0,0,0,0,-7.444534959983693,13.035832223313648,0.8576179883890366,15,34
4284,0,0,1568,121680,7832,0,480,0,0,19434,0,0,0,102627,4494,0,0,0,10206,0,0,0,0,0,7371,10380,7097,0,19650,0,10615,0,7344,0,0,0,0,14823,7987,0,0,0,0,-7.848369383430043,13.985102850460738,0.8545742166477535,16,34
0,0,3277,340,26264,8010,0,0,0,0,16100,0,0,0,85514,7956,0,0,0,8742,0,0,0,0,0,0,8300,3861,0,11952,0,9027,0,18915,0,0,0,0,15164,5960,0,0,0,0,-8.580230645831257,14.725435157912623,0.855400439063979,17,34
0,0,2205,1575,162435,22356,0,450,0,0,969,0,0,0,32912,21939,0,0,0,2688,0,0,5085,0,0,0,1566,5474,0,43632,25330,0,1248,9776,0,0,0,0,0,0,0,13552,0,0,-6.822991510731942,16.66250263631985,0.8494190264083885,18,34
