Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,x_position,y_position,z_position,unit_distance_from_origin,unit_id
0,0,1242,0,0,29498,0,0,2109,4.970805,13.096554,0.128891,14,95
0,0,1656,0,0,23805,0,0,2016,5.979453,13.761438,0.12917,15,95
4392,0,0,18156,0,0,0,0,76670,6.353637,-4.737608,0.888429,7,161
4403,0,0,17490,0,0,0,0,79388,6.365005,-4.87885,0.878782,8,161
1920,0,0,23600,0,0,0,0,66176,6.144484,-6.578141,0.892233,9,161
4320,3399,0,43229,0,0,0,0,41400,6.173417,-7.885603,0.878186,10,161
2916,7581,0,32015,0,0,0,0,0,6.12279,-9.168306,0.89326,11,161
4953,0,0,8468,0,0,0,0,50820,6.520479,-2.48168,0.890952,6,161
2438,0,0,0,0,0,0,0,33855,5.947413,-0.735077,0.880642,5,161
6958,0,0,20169,0,0,0,1480,29150,4.935586,-0.441904,0.886066,4,161
5811,0,0,17384,0,0,0,43512,21566,3.952907,-0.587508,0.887259,3,161
5032,0,0,16579,0,0,0,57918,16962,2.899352,-0.752538,0.892395,2,161
7084,11660,0,0,0,0,0,54964,27261,-0.537033,-1.918866,0.884355,1,161
9960,16388,0,0,0,0,0,48133,20060,0.087353,-0.990514,0.890705,0,161
0,0,4600,0,0,0,27300,8094,3007,-6.384597,16.931239,0.890325,18,14
0,0,4294,0,0,0,46617,4816,3135,-6.360845,16.813268,0.875497,17,14
0,0,1595,0,0,0,48006,8003,1980,-5.803166,15.929215,0.890727,16,14
0,0,5546,0,0,0,78570,7791,3536,-4.875636,15.23261,0.872254,15,14
0,0,6300,0,0,0,37960,9628,3852,-4.408392,14.299434,0.880138,14,14
69520,0,4797,0,0,0,44625,9164,3162,-4.662613,13.177163,0.891938,13,14
0,0,5453,0,0,320,81191,0,4472,-0.253118,12.963385,0.891721,12,14
0,0,6762,0,0,0,0,0,5324,-0.122217,11.990046,0.895879,11,14
30888,0,4800,0,0,0,0,0,4992,1.167233,10.919832,0.894334,10,14
18810,0,7897,0,0,0,0,0,6426,1.332141,9.897327,0.881209,9,14
14056,0,5529,0,0,0,0,0,6450,1.396959,8.877274,0.89649,8,14
24300,0,6222,0,0,0,0,21684,7600,0.885036,7.945025,0.890251,7,14
21510,0,5084,0,0,0,0,22659,4750,0.628458,6.950331,0.882679,6,14
14272,0,5350,0,0,0,0,26680,7110,0.505394,5.930339,0.892974,5,14
17384,9408,14442,0,0,0,0,26224,10521,0.314865,4.977177,0.883618,4,14
13938,50820,6084,0,0,0,0,31518,7965,0.21435,3.957138,0.890492,3,14
11400,37206,0,0,0,0,0,39690,11387,0.873464,2.864138,0.896285,2,14
4950,7748,0,0,51604,0,0,0,0,-1.75925,-7.409666,0.942149,7,174
4200,5586,0,0,41420,0,0,0,0,-1.85185,-6.750352,0.929947,6,174
7938,9450,0,0,0,0,0,0,18490,-1.996813,-5.654241,0.925596,5,174
9735,6760,0,0,0,0,0,0,24621,-2.255611,-4.426436,0.947641,4,174
10370,15265,0,0,0,0,0,40950,23808,-2.81411,-2.814941,0.947643,3,174
10740,8968,0,0,0,0,0,44820,29264,-2.225127,-1.971173,0.940502,2,174
10089,15488,0,0,0,0,0,36158,15183,-1.129646,-1.605352,0.941987,1,174
4674,8688,0,36366,0,0,0,0,72105,5.273306,-6.044281,0.923005,8,174
5994,23941,0,0,0,0,0,51745,18088,0.948597,-0.155219,0.944653,0,174
0,0,0,15120,0,0,0,0,0,8.827911,-8.165795,0.864446,12,184
2323,0,0,13915,0,0,0,0,0,8.822805,-8.133561,0.866049,11,184
3060,0,0,19760,0,0,0,0,8040,8.169897,-7.351879,0.845334,10,184
3424,0,0,14732,0,0,0,0,46222,7.533405,-6.524543,0.853058,9,184
3552,0,0,25792,0,0,0,0,67704,6.896111,-5.776223,0.844854,8,184
3596,0,0,0,0,0,0,0,65416,6.327205,-4.869483,0.856739,7,184
3876,6324,0,41082,0,0,0,0,54808,3.037537,-6.272926,0.860339,6,184
0,0,0,22253,0,0,0,0,45500,4.396068,-4.071455,0.855801,5,184
1044,0,0,32373,0,0,0,0,35100,3.113896,-3.906248,0.849117,4,184
2976,0,0,6765,0,0,0,0,16160,7.352839,4.835419,0.851195,8,150
11220,0,0,0,0,0,0,0,8856,4.617637,7.73088,0.856508,9,150
19285,0,0,0,0,0,0,0,5811,3.167648,7.325901,0.84555,7,150
7104,0,0,0,0,0,0,0,6480,2.835718,6.368291,0.849965,6,150
18048,0,0,0,0,0,0,50876,8580,2.290122,5.544351,0.83458,5,150
12096,0,0,0,0,0,0,39804,7140,1.807757,4.650225,0.853188,4,150
8632,0,0,0,0,0,0,46845,11163,1.771114,3.569285,0.843588,3,150
15120,0,0,0,0,95742,0,0,8164,4.644233,8.858774,0.846861,10,150
22742,0,7480,0,0,13440,0,0,5719,2.078397,10.810629,0.85031,11,150
0,0,1449,0,0,0,0,0,3362,0.675996,11.994548,0.859328,12,150
0,0,4125,0,0,0,171410,0,3712,-0.544991,12.996369,0.859322,13,150
0,0,0,0,0,0,69960,0,2700,-2.115697,13.868799,0.852545,14,150
0,0,3706,0,0,0,32085,0,1736,-3.609095,14.576782,0.858007,15,150
0,0,3597,0,0,22184,166056,0,4968,0.892184,15.979118,0.852598,16,150
0,0,0,0,0,35086,0,0,0,8.959873,14.494137,0.844522,17,150
10835,0,0,0,0,0,0,33201,9405,2.527782,5.586297,0.863545,6,115
11495,0,0,0,0,0,0,0,8007,2.177285,6.684048,0.857944,7,115
14208,0,9462,0,0,0,0,0,7854,2.152351,7.752062,0.856107,8,115
24045,0,8909,0,0,0,0,0,6006,2.237292,8.745229,0.853592,9,115
14101,0,7497,0,0,0,0,0,5822,2.400253,9.758024,0.849008,10,115
29120,0,8024,0,0,0,0,0,5460,1.55507,10.89246,0.850214,11,115
0,0,2414,0,0,25200,0,0,5376,1.266589,11.984981,0.859959,12,115
0,0,4085,0,0,0,0,0,4284,1.016917,12.962703,0.851642,13,115
0,0,4840,0,0,24640,0,0,3422,1.210735,13.962332,0.854213,14,115
0,0,4144,0,0,20832,151320,0,1365,0.863412,14.996927,0.852607,15,115
0,0,0,0,0,46662,0,0,5202,7.104139,14.337843,0.83977,16,115
10600,0,0,0,0,0,0,32967,8183,1.997546,5.652399,0.859343,5,115
8925,0,0,0,0,0,0,54808,11033,2.967812,4.004423,0.856899,4,115
41019,11374,8400,0,0,0,15576,7182,3528,-6.553895,7.311696,0.864446,9,12
0,0,5960,0,0,0,42456,13056,1900,-3.011832,9.56156,0.853494,10,12
28917,0,6248,0,0,0,50022,10670,2640,-2.400064,10.794785,0.859469,11,12
0,0,4320,0,0,0,0,8832,4248,-2.251039,11.807139,0.850817,12,12
0,0,4224,0,0,0,57589,0,1395,-2.132987,12.876009,0.858512,13,12
0,0,4092,0,0,0,97905,0,2425,-2.036013,13.85998,0.848021,14,12
0,0,5980,0,0,18164,143584,0,0,-0.922894,14.972994,0.836925,15,12
0,0,2871,0,0,13410,148580,0,2574,0.850899,15.98529,0.854373,16,12
9982,0,0,0,0,0,0,0,14652,7.175067,5.396841,0.857687,8,12
6165,0,0,0,0,0,0,0,16517,6.460173,4.682194,0.854358,7,12
2610,0,0,0,0,0,0,0,13200,5.779927,3.90612,0.861295,6,12
6201,0,0,9400,0,0,0,0,14559,5.054031,3.228269,0.858773,5,12
7905,0,0,0,0,0,0,36621,10302,4.004603,2.940991,0.843884,4,12
6164,0,0,0,0,0,0,29862,11172,3.029346,2.572705,0.852663,3,12
10500,18154,0,0,0,0,0,48763,13575,1.211977,2.737542,0.841383,2,12
9360,38144,0,0,0,0,0,28714,9912,-0.479127,1.931924,0.836597,1,12
5040,18358,0,0,0,0,0,22440,7839,0.015451,0.999873,0.861316,0,12
0,0,4795,0,0,50160,0,0,6850,3.89673,11.23146,0.864446,11,94
0,0,1624,0,0,64780,0,0,6750,3.982668,11.335589,0.841075,12,94
0,0,3150,0,0,44045,0,0,4268,4.498647,12.258916,0.861538,13,94
0,0,5246,0,0,38940,0,0,6016,4.676219,13.212971,0.852575,14,94
0,0,4484,0,0,25232,0,0,4914,4.903236,14.203648,0.861449,15,94
0,0,4446,0,0,17422,0,0,5082,5.28622,15.119568,0.839036,16,94
5890,0,0,0,0,0,0,0,0,8.158034,6.945362,0.859157,10,94
10780,0,0,8112,0,0,0,0,0,7.99798,5.951593,0.848543,9,94
6004,0,0,6968,0,0,0,0,11252,6.976668,5.636535,0.860003,8,94
13272,0,0,6300,0,0,0,0,10044,6.197763,5.046713,0.838398,7,94
6642,0,0,3416,0,0,0,0,12936,5.393701,4.385555,0.853048,6,94
8910,0,0,0,0,0,0,0,12540,4.56714,3.859683,0.838724,5,94
4576,0,0,0,0,0,0,38478,9256,3.980121,2.997432,0.860326,4,94
0,0,4960,0,0,29532,0,0,3636,3.749775,13.426769,0.864446,13,89
0,0,3456,0,0,36531,0,0,5016,3.754726,12.442747,0.855348,12,89
0,0,6030,0,0,42483,0,0,5628,3.534827,11.443018,0.859155,11,89
0,0,6394,0,0,77121,0,0,4824,3.339118,10.466549,0.845813,10,89
13920,0,7897,0,0,0,0,0,6090,3.014699,9.475437,0.85893,9,89
15368,0,5520,0,0,0,0,0,6528,2.596317,8.598223,0.847802,8,89
20181,0,6594,0,0,0,0,0,6232,2.418204,7.610899,0.850562,7,89
10712,0,0,0,0,0,0,256,7360,2.168599,6.610981,0.859492,6,89
12524,0,0,0,0,0,0,41044,7968,1.956101,5.67113,0.849939,5,89
10904,0,0,0,0,0,0,32144,5425,1.859638,4.618424,0.85712,4,89
8400,0,0,0,0,0,0,25258,8055,1.630956,3.635592,0.836707,3,89
0,0,4320,0,0,41273,0,0,5586,0.827576,13.977107,0.84057,14,89
3520,7938,0,36764,0,0,0,0,0,5.015045,-9.525531,0.923458,10,190
3520,0,0,24764,0,0,0,0,41418,6.441708,-7.627838,0.914354,9,190
4484,0,0,21500,0,0,0,0,88816,7.479542,-5.002785,0.884667,8,190
0,0,0,14544,0,0,0,0,31314,7.997024,-0.184493,0.901734,7,190
4795,0,0,10712,0,0,0,0,31108,6.986019,-0.347946,0.917762,6,190
3520,0,0,19236,0,0,0,0,34986,5.980236,-0.387578,0.906367,5,190
3164,0,0,22000,0,0,0,6630,28840,4.925111,-0.526325,0.919937,4,190
4216,0,0,22610,0,0,0,42640,22493,3.949337,-0.620111,0.917911,3,190
5700,20184,0,19520,0,0,0,50935,28325,2.364323,-1.81776,0.912697,2,190
4725,1463,0,9782,0,0,0,0,41292,4.54752,-3.698219,0.923458,5,154
5282,14626,0,30458,0,0,0,0,34272,3.628042,-3.343975,0.91656,4,154
5616,16188,0,20240,0,0,0,0,27679,2.686026,-2.881028,0.911539,3,154
5655,15400,0,4620,0,0,0,51538,22761,1.650586,-2.472339,0.912962,2,154
6357,18549,0,0,0,0,0,62352,20303,0.379357,-1.943981,0.905623,1,154
7011,19028,0,0,0,0,0,54796,11730,0.984985,0.11563,0.914255,0,154
12078,14941,23111,0,58950,0,0,17625,15276,-5.726511,-1.827817,0.911012,6,154
0,11872,51606,0,81458,0,0,8946,16548,-6.687881,-2.215787,0.911087,7,154
0,11165,70050,0,101436,0,0,12626,1100,-7.444741,-2.972035,0.918234,8,154
0,9169,64005,0,75203,0,0,0,0,-6.846289,-5.923518,0.911267,9,154
969,6946,0,0,31960,0,0,0,0,-5.259679,-8.536145,0.918182,10,154
0,6862,0,0,32754,0,0,0,0,-5.633283,-9.457572,0.912053,11,154
0,4704,0,0,22632,0,0,0,0,-5.929753,-10.484051,0.914489,12,154
18460,32421,13041,0,0,0,0,8904,6972,-6.094585,2.380182,0.923458,6,104
24388,15169,16524,0,0,0,6790,14076,8268,-6.342006,3.066525,0.90889,7,104
33824,32334,14784,0,0,0,4644,9932,6660,-6.784628,4.259485,0.916908,8,104
42804,84906,12896,0,0,0,20202,9912,5092,-7.202334,5.426966,0.911706,9,104
47875,0,6954,0,0,0,15610,7482,5576,-7.705531,6.475077,0.913944,10,104
18954,20838,15989,0,0,0,0,14835,7014,-5.674237,1.884364,0.913898,5,104
0,44550,35644,0,0,0,0,18642,4275,-4.627153,1.872574,0.906209,4,104
12818,20368,18088,0,0,0,0,21168,9774,-3.469947,1.899512,0.916565,3,104
16068,34077,30044,0,0,0,0,25760,10032,-2.348391,1.864494,0.907302,2,104
68888,0,8477,0,0,0,14880,9971,4536,-7.081093,8.419925,0.910243,11,104
97801,0,6466,0,0,0,26924,12150,4640,-7.271042,9.548077,0.890279,12,104
117700,0,6762,0,0,0,17290,6240,3744,-7.427135,10.690736,0.918978,13,104
78710,0,5640,0,0,0,21756,6952,2310,-6.885674,12.218439,0.91647,14,104
65149,0,6624,0,0,0,7192,7097,3132,-7.860784,12.795636,0.904225,15,104
10602,17775,0,0,0,0,0,21868,12711,-2.54586,-1.286761,0.923051,2,108
12308,10075,0,0,0,0,0,19089,15190,-2.705617,-1.297038,0.908841,3,108
10620,17760,153,0,0,0,0,0,15260,-3.518866,-1.97604,0.90533,4,108
13176,18304,58320,0,0,0,0,24570,19747,-4.382186,-2.425302,0.905894,5,108
13277,8494,81025,0,96140,0,0,28158,20482,-5.269542,-2.898286,0.89499,6,108
11277,6720,91996,0,95920,0,0,0,0,-5.702993,-4.090718,0.914079,7,108
0,11008,96824,0,113092,0,0,0,0,-6.303616,-4.926767,0.904987,8,108
0,6600,0,0,34524,0,0,0,0,-6.221859,-6.530784,0.914295,9,108
6318,13578,0,0,0,0,0,30736,8120,-0.518375,-1.884716,0.906246,1,108
2730,1680,0,28122,0,0,0,0,0,7.558691,-10.175982,0.914002,12,187
3360,847,0,0,0,0,0,0,0,7.301913,-9.508867,0.906733,11,187
2940,0,0,29890,0,0,0,0,3120,7.032323,-8.418677,0.91469,10,187
3842,0,0,36039,0,0,0,0,53361,6.891934,-7.217634,0.901954,9,187
3658,0,0,20148,0,0,0,0,74052,6.832983,-5.84306,0.915465,8,187
3105,0,0,15872,0,0,0,0,71550,6.656921,-4.345594,0.918632,7,187
4446,0,0,14326,0,0,0,0,52875,6.402905,-2.767825,0.91715,6,187
5720,0,0,15820,0,0,0,0,26487,5.975839,-0.476923,0.903932,5,187
6300,0,0,26132,0,0,0,0,33990,4.392193,-2.367286,0.906211,4,187
5450,16709,0,16652,0,0,0,0,33790,2.845531,-2.804732,0.907469,3,187
5439,19620,0,37352,0,0,0,78052,23040,2.084752,-2.153939,0.900851,2,187
7923,19295,0,0,0,0,0,55476,24064,0.243811,-1.963999,0.909418,1,187
6272,20254,0,0,0,0,0,56090,20496,0.208939,-0.972011,0.905384,0,187
0,0,5292,0,0,4775,110110,0,4032,-3.985086,17.073616,0.986647,17,6
0,0,6028,0,0,0,40086,3680,3024,-8.523431,14.678212,0.987477,16,6
0,0,7250,0,0,0,29997,8060,2850,-8.111905,13.759752,0.989166,15,6
0,0,7599,0,0,0,13932,8250,3776,-7.678673,12.847712,0.991866,14,6
0,0,7100,0,0,0,42600,11620,5566,-7.554367,11.781715,0.98827,13,6
140217,0,7636,0,0,0,30192,11440,5334,-7.031458,10.932318,0.987406,12,6
90768,0,9520,0,0,0,39390,11968,5633,-6.235375,10.24811,0.986304,11,6
68688,0,11040,0,0,0,26884,10017,4521,-6.573608,8.790889,0.988591,10,6
60048,0,14210,0,0,0,24459,11269,4004,-6.985655,7.11089,0.991889,9,6
55056,100273,17248,0,0,0,20856,16168,8436,-7.115812,5.478233,0.989721,8,6
41340,74649,17784,0,0,0,12699,14413,8007,-6.671575,4.399686,0.988896,7,6
35816,50920,23760,0,0,0,3528,14454,3696,-6.174368,3.201224,0.991748,6,6
26724,33904,28518,0,0,0,0,17064,7191,-5.618556,1.992146,0.990741,5,6
20856,31860,37820,0,0,0,0,20500,5236,-4.810776,1.361567,0.990251,4,6
11144,0,0,0,0,0,0,78996,15249,2.426831,3.126265,0.989508,3,6
19208,14322,0,0,0,0,0,83830,0,1.586651,2.531039,0.98827,2,6
11658,25647,2100,0,0,0,0,22113,14040,-1.591392,1.132723,0.991419,1,6
0,7252,0,0,30600,0,0,0,0,-6.695461,-10.897743,0.990075,12,182
0,5208,0,0,35518,0,0,0,0,-7.368971,-9.431787,0.993519,11,182
0,9405,0,0,37630,0,0,0,0,-7.766672,-7.787093,0.989752,10,182
0,7326,0,0,103730,0,0,0,0,-8.215181,-5.672634,0.989844,9,182
0,7106,0,0,59679,0,0,0,0,-7.602939,-4.72641,0.990454,8,182
0,14832,107825,0,0,0,0,0,0,-6.906838,-3.996617,0.988638,7,182
4056,18040,98552,0,0,0,0,15900,16644,-6.391378,-2.852055,0.988987,6,182
17114,13224,72000,0,0,0,0,23545,21855,-5.327029,-2.744593,0.991256,5,182
16212,13603,0,0,0,0,0,25116,16954,-3.87214,-3.13204,0.99274,4,182
18190,20915,51909,0,0,0,0,22222,17712,-3.936517,-0.591489,0.991607,3,182
9454,10857,0,0,0,0,0,3270,32314,0.657239,-2.904757,0.989203,2,182
9240,0,0,14280,0,0,0,0,0,8.11741,2.399855,0.990075,8,186
9263,0,0,15075,0,0,0,0,31506,7.574954,2.45653,0.989654,7,186
9177,0,0,21780,0,0,0,0,39837,6.580922,2.35652,0.988271,6,186
9342,0,0,15776,0,0,0,0,12089,5.559651,2.157285,0.990127,5,186
8624,0,0,22072,0,0,0,64050,28000,4.520974,2.064544,0.991764,4,186
9240,0,0,0,0,0,0,78358,19266,3.517543,1.852335,0.989493,3,186
13266,0,0,0,0,0,0,67782,16425,1.722526,2.454048,0.991399,2,186
50407,0,13065,0,0,0,29561,12154,5145,-5.488393,7.174547,0.991435,9,186
15912,53774,2535,0,0,0,0,36612,15900,-1.179347,1.609169,0.987795,1,186
41629,0,7744,0,0,0,0,0,8056,1.211071,9.942094,0.987853,10,186
35631,0,9280,0,0,0,0,0,7748,0.862182,10.986394,0.989781,11,186
0,0,6519,0,0,0,0,0,7332,0.468752,11.993035,0.990874,12,186
0,0,7844,0,0,12642,0,0,6486,-0.021537,13.021291,0.988599,13,186
0,0,4935,0,0,26010,195320,0,6063,-0.61206,14.055912,0.989415,14,186
0,0,6885,0,0,31968,205785,0,5418,-0.827456,14.981966,0.989477,15,186
0,0,5547,0,0,23232,0,0,4446,-0.914329,15.982341,0.988474,16,186
0,0,6720,0,0,0,41658,7600,3885,-8.204246,14.903989,0.991938,17,186
0,0,3555,0,0,0,37985,4324,1947,-7.82868,16.240782,0.99084,18,186
0,18328,78729,0,0,0,0,15080,13975,-7.140682,-2.546173,0.990075,7,99
0,16650,95970,0,0,0,0,13720,18531,-6.555469,-2.384318,0.98846,6,99
14338,15535,56810,0,0,0,0,16254,12870,-5.634277,-1.960171,0.990966,5,99
15939,17080,55296,0,0,0,0,18656,20340,-4.622171,-1.874452,0.991649,4,99
11623,22172,27520,0,0,0,0,18908,13132,-3.586113,-1.717988,0.98958,3,99
8789,10458,0,0,0,0,0,17343,23406,-2.436969,-1.713446,0.99163,2,99
4644,22816,0,0,0,0,0,64350,23908,0.805196,-1.811048,0.987636,1,99
14118,28227,0,0,0,0,0,79904,24600,0.972905,0.14821,0.986884,0,99
2970,0,0,30816,0,0,0,0,93372,5.63588,-5.70793,0.991436,8,99
2920,6283,0,36700,0,0,0,0,95676,5.341048,-7.246551,0.988367,9,99
5292,7869,0,58752,0,0,0,0,0,4.495648,-8.93906,0.990802,10,99
4641,7392,0,92352,0,0,0,0,0,4.488825,-10.062996,0.989824,11,99
3828,9052,0,79648,0,0,0,0,0,4.504717,-11.140339,0.989956,12,99
0,8580,0,0,49320,0,0,0,0,-9.254043,-9.145765,0.990943,13,99
40504,59616,18620,0,0,0,10508,9152,6804,-6.747663,4.264514,0.988182,7,11
30303,94689,8928,0,0,0,17094,12644,5616,-4.953048,6.294165,0.988208,8,11
38841,94620,8100,0,0,0,12672,13671,6300,-4.418399,7.849024,0.989485,9,11
54002,70970,8874,0,0,0,44354,13230,6768,-4.607653,8.880819,0.966575,10,11
67795,0,7700,0,0,0,25080,12864,5544,-5.135837,9.736001,0.991522,11,11
91728,0,9240,0,0,0,32438,12160,5320,-5.648982,10.596071,0.989772,12,11
84456,0,8100,0,0,0,48807,10325,4864,-6.331221,11.367049,0.984059,13,11
129952,0,6688,0,0,0,20020,9180,4551,-6.993458,12.13735,0.992799,14,11
0,0,4860,0,0,21150,198144,0,5500,-1.047963,14.978308,0.990436,15,11
0,0,4914,0,0,21995,230080,0,4392,0.048109,16.009266,0.970837,16,11
23268,0,11088,0,0,0,0,25676,7480,-0.163955,6.995773,0.99232,6,11
10980,0,0,0,0,0,0,0,12428,4.945878,3.357437,0.984254,5,11
9275,0,6405,0,0,0,0,29756,0,0.840652,4.92537,0.983621,4,11
17325,87899,6478,0,0,0,0,48900,0,-1.012868,3.852416,0.96156,3,11
13969,27058,31065,0,0,0,0,27621,10706,-2.427175,1.670343,0.984833,2,11
0,32860,0,0,0,0,0,66352,9636,1.595116,1.157652,0.97622,1,11
19462,42028,18525,0,0,0,0,17875,8832,-2.732457,3.960902,1.000941,4,100
21040,39576,17850,0,0,0,0,21141,7644,-3.702621,3.36992,0.991818,5,100
27234,33800,24795,0,0,0,0,11596,0,-5.62689,2.131547,0.989477,6,100
25025,96515,12772,0,0,0,0,13310,7440,-3.162073,6.260884,0.982749,7,100
33390,87636,12544,0,0,0,0,19662,9180,-3.014226,7.415342,0.966196,8,100
15732,56960,0,0,0,0,0,41846,10780,0.388007,3.943789,0.982509,3,100
43018,0,5270,0,0,0,0,36305,6160,-0.482766,9.018832,0.980936,9,100
23496,0,7267,0,0,0,0,0,5772,1.018163,9.953535,0.987624,10,100
34760,0,11040,0,0,170,0,0,7854,1.73501,10.86937,0.968893,11,100
0,0,0,0,0,20923,0,0,4526,1.19345,11.948369,0.983771,12,100
0,0,6550,0,0,57986,0,0,7140,1.869928,12.910395,0.980857,13,100
0,0,6450,0,0,28269,0,0,5640,2.535568,13.778148,0.992732,14,100
0,0,6026,0,0,48127,0,0,6576,3.039735,14.699703,0.978239,15,100
0,0,5590,0,0,23088,0,0,5360,3.600092,15.625459,0.993248,16,100
8950,0,0,7571,0,0,0,0,23460,5.776946,3.024632,1.000941,6,159
10034,0,0,20240,0,0,0,0,24543,5.119339,3.093325,0.964126,5,159
19360,0,0,0,0,0,0,69120,13860,2.020931,4.573033,0.974674,4,159
9849,0,0,0,0,0,0,57190,9810,2.06667,3.403248,0.983079,3,159
12411,23249,0,0,0,0,0,74448,15695,1.245503,2.70289,0.975331,2,159
10441,42375,0,0,0,0,0,69738,0,0.890121,1.752999,0.984741,1,159
60742,0,6204,0,0,0,49720,12600,4386,-3.949629,12.587894,0.988642,13,2
113523,0,5986,0,0,0,92637,14134,4464,-4.395333,13.309884,0.973188,14,2
0,0,6486,0,0,0,71832,14499,4408,-4.759572,14.235962,0.981764,15,2
0,0,5590,0,0,0,59272,0,3762,-4.646245,15.353927,0.973812,16,2
0,0,6222,0,0,0,105638,0,3360,-5.051199,16.249925,0.971404,17,2
0,0,1944,0,0,0,79636,630,3270,-5.80599,17.075053,0.995266,18,2
100700,0,7650,0,0,0,34030,14700,6000,-4.288483,12.239676,0.974174,12,2
96968,0,6200,0,0,0,32239,13320,3799,-5.920328,10.423123,0.989306,11,2
78228,0,10044,0,0,0,33728,10152,5031,-6.689255,8.694046,0.97923,10,2
55993,31262,8730,0,0,0,29561,12276,5184,-6.069437,7.875121,0.994344,9,2
41472,78715,9000,0,0,0,27048,13936,6556,-5.340825,7.207867,0.995024,8,2
40950,115434,18860,0,0,0,37674,15833,7650,-4.451406,6.626092,0.974922,7,2
26013,102883,17928,0,0,0,0,18865,7590,-3.535097,6.022162,0.993571,6,2
16102,82044,11128,0,0,0,0,22446,6264,-2.743962,5.319651,0.973387,5,2
19968,20596,15561,0,0,0,0,19500,9405,-4.388066,2.274515,0.992273,4,2
20825,43602,30104,0,0,0,0,23925,12870,-3.372507,2.049125,0.983231,3,2
15833,0,33040,0,0,0,0,27145,11571,-2.320494,1.861352,0.989561,2,2
0,0,2727,0,0,16344,0,0,4400,5.556234,17.083087,0.820655,17,90
0,0,3852,0,0,19987,0,0,4290,5.54912,16.064501,0.827558,16,90
