Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,x_position,y_position,z_position,unit_distance_from_origin,unit_id
5180,0,4123,0,0,1512,378,0,36772,0,4661,-7.595569,11.83255,0.886388,14,5
0,0,3535,0,0,0,0,0,34375,0,16490,-7.90814,12.750135,0.881362,15,5
0,0,4235,0,0,0,0,0,7052,0,0,-8.151504,13.784381,0.892945,16,5
0,0,2117,0,0,0,0,0,0,0,0,-8.43305,14.774934,0.874327,17,5
0,0,4107,0,0,0,0,0,0,0,0,-9.11625,15.56884,0.886593,18,5
8058,0,11584,0,0,27371,32205,0,15600,0,0,-3.573432,7.150316,0.895781,7,5
12600,0,9856,0,0,27648,13490,0,27234,0,5076,-5.625891,4.087928,0.88818,6,5
9494,0,8662,0,0,20610,17630,2288,20516,0,3774,-5.031036,3.223841,0.881264,5,5
9552,0,15762,0,72,12425,9780,0,660,0,6096,-4.05692,2.9027,0.891336,4,5
11895,0,7320,0,5104,6667,13845,0,0,0,0,-3.047045,2.584835,0.896745,3,5
1978,49938,0,8250,5676,0,0,6125,0,29036,39772,5.038474,12.005981,0.900877,13,161
3078,43120,0,9860,5355,0,0,4968,0,20056,49725,4.874891,12.039403,0.878591,12,161
0,1975,0,0,4400,0,0,4012,0,0,55902,1.147922,13.986781,0.881481,14,161
3160,36750,0,5487,5670,14495,0,5680,0,24576,54418,4.25296,11.211866,0.884464,11,161
3128,53277,0,5350,4719,0,0,0,0,19304,0,6.226391,13.650727,0.886842,15,161
1876,48732,0,4602,864,0,0,4847,0,7790,0,6.701035,14.571181,0.885306,16,161
294,0,0,3605,2862,0,0,0,0,0,0,5.531779,16.075925,0.882927,17,161
3168,24570,0,9405,7497,0,0,6314,0,29799,56575,4.969292,9.808127,0.881758,10,161
3240,23690,0,6527,7800,6726,0,8800,0,25728,48230,4.770826,8.764619,0.892705,9,161
3150,26133,0,12993,8456,12994,0,10458,0,20750,27354,4.7277,7.658164,0.876136,8,161
4446,24440,0,12716,10140,3234,0,11151,0,19404,24190,4.676805,6.47285,0.887678,7,161
9048,0,9071,0,5555,15232,19800,0,0,0,13504,-2.021432,6.686629,0.893153,6,161
8007,0,14490,0,6954,19106,23278,0,0,0,11058,-2.12454,5.593338,0.882576,5,161
8415,0,16125,0,5472,16632,23157,0,0,0,8428,-2.124211,4.495794,0.8976,4,161
5676,16388,0,14673,11098,1152,0,0,0,13516,2088,5.192898,5.477282,0.890031,7,172
0,13002,0,11520,8892,4012,0,0,0,14941,28608,5.047193,6.218322,0.870949,8,172
0,30672,0,9845,8160,5187,0,0,0,23276,35748,4.785872,7.653094,0.893008,9,172
2752,36387,0,6307,4560,7797,0,6045,0,28600,46368,4.450206,8.966386,0.893066,10,172
1776,49368,0,5610,4686,10740,0,0,0,32010,37152,3.753875,10.346682,0.878428,11,172
2415,39480,0,9150,6075,17479,0,4061,0,26924,48501,4.234966,11.282005,0.887779,12,172
0,50032,0,5328,2349,1152,0,0,0,21582,47730,4.670758,12.15863,0.887368,13,172
2314,23296,0,5502,3978,0,0,3850,0,19890,18914,5.578924,12.840633,0.89168,14,172
2430,64680,0,3960,3362,0,0,0,0,16895,0,6.346527,13.601219,0.874406,15,172
2656,31339,0,2765,4640,0,0,8308,0,2438,0,6.989755,14.4061,0.884901,16,172
0,0,0,2816,1914,0,0,4879,0,0,0,4.729729,16.354349,0.896574,17,172
11200,0,12988,0,0,24605,29997,0,0,0,16684,-3.156422,6.23484,0.88531,6,172
6480,0,9765,0,0,19068,22008,0,0,0,12144,-2.747099,5.311152,0.886511,5,172
1825,0,0,4560,2938,0,0,0,0,0,0,8.856295,17.216463,0.940629,19,394
2128,0,0,3720,3828,0,0,0,0,0,0,8.798611,16.821488,0.931946,18,394
1975,0,0,4200,4440,0,0,0,0,0,0,8.565155,15.822752,0.945095,17,394
2132,0,0,4902,4830,0,0,0,0,0,0,8.162692,14.859921,0.946952,16,394
0,77411,0,5124,3760,0,0,0,0,13806,0,7.989749,13.854652,0.927976,15,394
2200,38419,0,5421,4551,0,0,0,0,25256,0,7.514027,12.974679,0.939019,14,394
1575,28032,0,6625,5085,0,0,7144,0,31415,9775,6.853558,12.185446,0.93286,13,394
3328,36957,0,8680,0,2261,0,6732,0,23946,41574,5.787071,11.62671,0.946688,12,394
0,61380,0,10758,7700,24072,0,12136,0,25116,49590,4.603233,11.079397,0.930173,11,394
3024,58212,0,10680,5586,10788,0,4768,0,25484,47120,2.888703,10.583167,0.95036,10,394
4224,43896,0,11781,7344,0,0,6120,0,34755,44157,2.718366,9.616255,0.938563,9,394
2304,43681,0,12740,8466,10354,0,6468,0,31722,33150,2.984079,8.470639,0.945365,8,394
4900,40293,0,12992,9861,5100,0,9405,0,28600,26095,3.096254,7.334295,0.946244,7,394
2212,28600,0,16940,10730,4230,0,8904,0,21250,27456,3.227281,6.205659,0.942015,6,394
3850,15614,0,16064,16920,3968,0,15808,0,12350,0,5.479485,2.422981,0.948363,5,394
640,0,0,0,0,0,4716,0,4042,0,2550,-8.599419,-7.998671,0.953174,11,31
46893,0,0,0,0,0,5375,0,4505,0,2970,-8.360742,-7.10522,0.942664,10,31
66048,0,25641,0,0,0,5428,0,8892,0,1155,-8.242946,-5.638492,0.934475,9,31
67779,0,39216,0,0,0,7595,0,10416,0,952,-8.032235,-4.030999,0.92955,8,31
36900,0,28747,0,0,0,4042,0,0,0,925,-7.487733,-2.80075,0.938496,7,31
46068,0,28710,0,0,0,7776,0,5060,0,1110,-6.493078,-2.442288,0.937133,6,31
36064,0,48363,0,0,0,0,16524,11000,0,2623,-5.625935,-2.070164,0.927949,5,31
23688,0,28724,0,0,0,8575,12810,0,0,3696,-4.716202,-1.582304,0.945993,4,31
7812,0,27804,0,0,7130,7353,15631,0,0,2992,-3.735662,-1.338038,0.940628,3,31
0,0,0,0,0,0,4560,0,5796,0,3162,-7.475029,-9.405223,0.948994,12,31
20532,0,11918,0,0,0,19280,0,18675,0,1260,-7.906755,3.795291,0.95319,8,6
16016,0,7968,0,0,17841,26315,1638,27342,0,1692,-7.120851,5.513256,0.947404,9,6
11505,0,4982,0,0,38745,44160,0,36512,0,0,-6.15402,7.884548,0.930553,10,6
10382,0,12988,0,0,29328,34454,882,26448,0,0,-4.369603,6.687325,0.944254,7,6
15399,0,13179,0,4293,23375,30784,0,26481,0,0,-3.748348,5.889124,0.933205,6,6
7585,0,13797,0,5643,19845,21216,6923,0,0,7980,-3.180091,5.050498,0.949426,5,6
13248,0,16488,0,8694,15048,12397,3535,0,0,12920,-3.031541,3.925755,0.938668,4,6
0,0,0,0,0,0,2185,0,0,0,2581,-5.040497,-9.783146,0.925809,11,6
0,11956,0,49932,23452,0,0,25753,0,9116,0,3.862471,-0.971964,0.941208,3,6
0,7128,0,37312,24276,3567,6125,17621,0,0,0,2.90497,-0.538478,0.943762,2,6
13266,0,0,33108,20022,3182,0,0,0,9065,12276,1.969541,-0.315446,0.943934,1,6
11280,0,0,56446,41531,6644,6552,22464,0,7380,10556,1.484198,-2.39787,0.953174,2,34
17787,0,0,51510,42716,6321,5980,30281,0,7493,12213,1.480189,-2.618656,0.925461,3,34
5670,0,0,44492,52875,5640,2982,23287,0,8949,10584,1.483328,-3.790556,0.951538,4,34
28196,0,0,7777,49312,5940,4785,3825,0,9300,6952,1.416636,-4.798939,0.921165,5,34
33705,0,0,0,0,6118,4828,49404,0,5166,5712,0.252994,-6.029339,0.948509,6,34
49276,0,70964,0,0,2414,7550,0,0,0,4407,-5.370355,-4.530385,0.935457,7,34
65943,0,75078,0,0,0,5577,0,0,0,2666,-5.328245,-6.009661,0.937991,8,34
49140,0,85557,0,0,0,4141,0,0,0,0,-4.903169,-7.572528,0.929612,9,34
42312,0,0,0,0,364,2622,0,0,0,1581,-4.557133,-8.910797,0.929779,10,34
0,0,0,0,0,3120,3422,0,0,0,3026,-3.320359,-10.493194,0.933393,11,34
8360,0,4004,0,0,37310,46035,972,50765,0,12993,-6.157927,10.344825,0.947708,12,34
4932,0,5226,0,0,33109,0,0,0,0,25920,-3.70656,12.47074,0.947705,13,34
4750,0,3154,0,0,35712,0,0,0,0,36072,-2.165471,13.851207,0.947212,14,34
5043,0,4000,0,0,0,0,0,0,0,0,-2.685581,14.779879,0.943121,15,34
7872,0,6400,0,5499,0,0,0,0,0,0,-4.482036,15.362531,0.935543,16,34
0,0,4522,0,0,0,0,0,0,0,0,-6.040412,15.907371,0.93962,17,34
2432,0,4484,0,644,0,0,0,0,0,0,-5.549143,17.12494,0.91806,18,34
0,3503,0,0,0,1520,0,179157,0,3232,0,6.319523,-9.52332,0.854705,11,150
0,3105,0,0,0,1968,0,193572,0,2350,0,6.182601,-9.086425,0.845051,10,150
0,0,0,0,0,2700,0,150591,0,2040,0,5.805468,-8.141209,0.842259,9,150
0,4662,0,0,0,3520,0,112200,0,3072,0,5.874999,-6.811462,0.842837,8,150
0,4655,0,40200,41022,2430,0,57620,0,2340,0,6.291342,-4.923476,0.849888,7,150
6732,6909,0,34608,29735,3196,0,43964,0,0,0,5.537815,-4.254741,0.857605,6,150
13193,6068,0,37252,26344,2415,0,30510,0,3799,0,4.218845,-4.265154,0.846908,5,150
3915,16632,0,15680,8415,4148,0,4698,0,11484,18480,3.155792,3.870878,0.858512,4,150
0,24000,0,7056,5070,0,0,3630,0,21825,40560,5.628029,10.643104,0.857023,12,150
0,42705,0,6255,4375,756,0,3680,0,27390,22833,5.568357,11.752456,0.834108,13,150
1764,19740,0,2212,4080,0,0,4375,0,17484,4920,5.713271,12.795638,0.85932,14,150
0,46740,0,2196,3520,0,0,0,0,9990,0,5.937836,13.816964,0.852062,15,150
2068,15810,0,3588,3850,0,0,0,0,0,0,6.026053,14.855585,0.856924,16,150
6930,6272,0,21414,11229,0,11160,7686,0,13532,14981,2.002523,3.416457,0.860923,3,150
2910,0,0,0,2200,19095,0,248,0,0,25039,-0.298281,13.461219,0.863596,13,253
1782,6148,0,0,2562,34299,0,0,0,0,24319,0.307591,12.971962,0.855504,12,253
0,50220,0,5312,5670,21845,0,0,0,14430,25690,2.226526,11.781466,0.857078,11,253
0,49104,0,10017,5852,7140,0,0,0,25974,35047,2.688698,10.625463,0.859093,10,253
4165,41471,0,9464,5964,0,0,0,0,29779,21789,2.780735,9.581819,0.854459,9,253
4255,26649,0,10561,5960,6063,0,4588,0,19734,26611,2.756376,8.565184,0.858101,8,253
888,0,0,0,2736,0,0,3960,0,0,52448,0.218894,14.059733,0.85277,14,253
1734,0,0,0,3390,0,0,2398,0,0,1190,0.140372,15.043484,0.844616,15,253
3520,0,1914,0,0,0,0,0,0,0,0,-4.284907,15.421256,0.842532,16,253
7849,0,0,0,0,19199,22932,0,32754,0,0,-5.032641,6.183924,0.859128,7,253
6444,0,5054,0,0,11115,11952,2730,22560,0,2610,-4.872202,5.025459,0.859366,6,253
3045,0,4256,0,0,0,0,0,0,0,0,-5.170604,16.195598,0.851024,17,253
0,0,665,0,0,0,0,0,0,0,0,-7.885108,16.200486,0.861498,18,253
8928,6525,0,29240,38184,784,0,32226,0,4978,0,6.712601,-3.546908,0.863545,7,167
7740,0,0,41140,36340,3780,0,46482,0,4214,0,5.64332,-4.124912,0.842307,6,167
0,0,0,0,0,2100,0,35640,0,4563,0,2.625191,-7.57427,0.851977,8,167
0,0,0,0,0,2400,2660,0,0,3078,0,2.748838,-8.608776,0.861541,9,167
0,0,0,0,0,2006,2550,0,0,3496,0,2.783872,-9.604731,0.858895,10,167
0,0,0,0,0,1475,2465,0,0,3190,0,2.695826,-10.665705,0.863665,11,167
0,2516,0,0,0,952,0,0,0,2970,0,7.153436,-11.502694,0.855072,13,162
0,0,0,0,0,2170,0,0,0,3948,0,6.604957,-11.194057,0.839358,12,162
0,0,0,0,0,1539,0,0,0,2300,0,5.678985,-10.512744,0.855238,11,162
0,1764,0,0,0,2883,0,0,0,3045,0,4.930342,-9.82325,0.837994,10,162
0,720,0,0,0,1380,0,123233,0,3740,0,4.434817,-8.958582,0.852143,9,162
0,0,0,0,0,1764,0,85162,0,2744,0,3.294711,-8.370447,0.844414,8,162
0,0,0,0,0,1716,3432,39520,0,2160,0,2.934502,-7.370798,0.858596,7,162
0,0,0,0,0,3420,0,0,0,4092,0,2.390884,-6.561847,0.846427,6,162
17272,0,0,0,23004,4366,3234,0,0,5547,0,1.738173,-5.677402,0.843129,5,162
24168,0,0,3577,35816,4514,2628,23870,0,6615,1800,1.413567,-4.7864,0.838983,4,162
14760,0,0,28380,35738,3712,2665,0,0,6435,2891,1.279407,-3.771834,0.844167,3,162
1456,16764,0,8134,7130,4366,0,5936,0,10017,0,6.02992,7.460158,0.863545,9,142
2662,16188,0,5950,7172,5633,0,6812,0,13794,0,6.379394,6.31601,0.857568,8,142
3648,9802,0,9672,12338,0,0,16425,0,9480,0,7.379355,3.014236,0.839732,7,142
5112,15394,0,13760,10908,4268,0,17706,0,10948,0,6.607062,2.260052,0.848792,6,142
4851,9861,0,17593,14272,0,0,26320,0,8374,0,5.870111,1.217338,0.840649,5,142
5412,8550,0,24080,16434,650,0,19712,0,4000,0,4.974828,-0.261938,0.855886,4,142
0,4840,0,0,0,861,363,132252,0,4140,0,7.801845,-6.317813,0.844488,10,142
0,4680,0,0,0,1300,1209,196546,0,3597,0,8.103792,-7.467696,0.855202,11,142
0,4068,0,0,0,0,1638,172260,0,3232,0,8.41123,-8.563875,0.859085,12,142
0,3996,0,0,0,0,1260,70956,0,2976,0,8.70175,-9.670234,0.838716,13,142
12672,0,0,29568,32373,3444,1296,17141,0,6570,0,2.840293,-2.80976,0.84434,3,142
9457,0,0,18432,28616,4192,1287,19200,0,8195,5330,2.110228,-2.054823,0.849583,2,142
3255,0,3120,0,0,31598,0,0,0,0,20608,-1.681067,13.903501,0.848615,14,142
8800,0,0,42721,28608,3320,1375,20250,0,8910,2226,2.909548,-1.160616,0.916176,3,41
5220,17760,0,24722,16425,0,475,9126,0,12606,11840,3.358523,2.241418,0.90836,4,41
6380,12561,0,19520,8200,3808,0,0,0,10971,23465,3.648205,3.49441,0.916079,5,41
4588,29312,0,18170,12411,8580,0,0,0,14280,19454,4.376188,4.114931,0.899462,6,41
0,0,0,0,0,4235,3003,51610,0,6256,0,1.264116,-6.922013,0.899076,7,41
0,0,0,0,0,3689,2014,0,0,5888,0,1.134593,-7.92008,0.908669,8,41
0,0,0,0,0,4879,2200,0,0,6350,0,0.961256,-9.009397,0.91677,9,41
0,0,0,0,0,4140,2484,0,0,5535,0,0.933957,-9.966872,0.905938,10,41
0,0,0,0,0,4756,3071,0,0,0,1025,-0.490219,-10.995729,0.915437,11,41
0,0,0,0,0,0,4370,0,0,0,3636,-5.847347,-10.500964,0.91148,12,41
2394,0,936,0,0,0,0,0,0,0,0,-6.777172,17.050741,0.923051,18,454
5616,0,3663,0,0,0,0,575,0,0,0,-6.540973,16.758126,0.898246,17,454
1740,0,3296,0,0,0,0,0,0,0,0,-5.910102,15.900617,0.911817,16,454
2822,0,0,0,0,0,0,0,0,0,0,-4.605826,15.063963,0.912323,15,454
0,0,4092,0,0,14824,0,675,0,0,0,-3.824332,14.503711,0.903254,14,454
0,0,3397,0,0,35334,0,0,0,0,0,-2.926023,13.671739,0.906456,13,454
5332,0,6090,0,0,42418,0,0,0,0,9638,-2.22831,12.76529,0.913368,12,454
0,52324,0,0,6028,28576,0,1400,0,3080,48650,0.994725,11.944746,0.90954,11,454
1920,65520,0,4698,6909,16104,0,3270,0,28077,34578,1.447055,10.873784,0.915066,10,454
0,67728,0,7544,6808,15914,0,2279,0,33670,26394,1.434083,9.862574,0.912496,9,454
3100,47311,0,7371,4077,14941,0,0,0,23544,28028,1.926299,8.75927,0.909654,8,454
0,35482,0,16490,10332,4320,0,0,0,28000,27621,3.120304,7.353329,0.904422,7,454
0,26117,0,10270,9540,3960,0,10561,0,13038,16068,3.519405,6.033515,0.900172,6,454
4968,14256,0,18955,12416,6615,0,2550,0,16275,23904,3.593839,4.78265,0.904132,5,454
12474,0,11834,0,0,25854,24024,4380,31824,0,1406,-5.253693,5.381825,0.910065,7,10
12730,0,12537,0,0,23318,22355,0,17325,0,2987,-5.028322,4.84133,0.91046,6,10
20746,0,22968,0,0,10348,8722,8496,16195,0,4556,-5.977753,-0.110933,0.899747,5,10
19829,0,24932,0,0,14007,12144,12328,14405,0,0,-4.969206,0.028533,0.905328,4,10
20271,0,23166,0,0,12512,10672,0,0,0,2838,-3.980816,0.176007,0.901913,3,10
17856,0,40392,0,0,8466,6800,0,0,0,6930,-2.330321,-1.84592,0.910077,2,10
17316,0,33370,0,10416,8400,9744,10028,0,0,7200,-1.743337,-0.875649,0.918631,1,10
8262,0,11224,0,0,24464,33280,840,49125,0,0,-3.809601,7.059236,0.914748,8,10
7800,0,9288,0,0,38400,41580,0,49200,0,2961,-3.574629,8.279538,0.903473,9,10
5934,0,9408,0,0,31395,42042,0,0,0,18900,-1.56021,9.895473,0.904167,10,10
5453,0,8533,0,0,24726,16340,0,0,0,0,-1.438604,10.952728,0.914935,11,10
4644,0,8060,0,0,41418,0,0,0,0,21386,-1.38389,11.934479,0.91038,12,10
4719,0,7250,0,0,0,0,2184,0,0,33475,-1.3243,12.935293,0.913617,13,10
4128,636,0,0,5166,0,0,3025,0,0,64809,1.111788,13.960574,0.902965,14,10
2754,0,0,0,4284,0,0,4130,0,0,0,1.396414,15.328932,0.923051,15,332
0,0,0,0,3751,0,0,0,0,0,33681,1.348441,14.924472,0.908024,14,332
0,19812,0,3861,5000,0,0,2752,0,0,36414,1.657812,13.896738,0.918519,13,332
3565,46081,0,7104,5590,23055,0,1518,0,0,69989,1.770338,12.85229,0.901426,12,332
4332,54668,0,8904,4400,23751,0,2622,0,15180,46748,1.720631,11.864782,0.914132,11,332
3480,44640,0,3150,2555,16165,0,0,0,19581,39215,1.400091,10.876705,0.918799,10,332
0,0,0,0,3105,0,0,0,0,0,0,-0.789942,16.004092,0.910129,16,332
3520,0,4536,0,0,0,0,0,0,0,0,-1.452301,16.942218,0.91113,17,332
6776,0,6068,0,0,34299,49410,0,50397,0,4160,-4.121416,9.092843,0.91751,9,332
4840,0,0,0,0,0,0,0,0,0,0,-6.598613,16.767662,0.908226,18,332
0,0,0,0,0,0,4403,0,5376,0,665,-9.652738,-9.686059,0.923051,13,39
0,0,0,0,0,0,3068,0,4096,0,1450,-9.362199,-8.977114,0.906498,12,39
0,0,0,0,0,0,4712,0,6750,0,2400,-8.75102,-8.205232,0.901733,11,39
36023,0,0,0,0,0,5676,0,7293,0,2790,-8.189838,-7.241415,0.913724,10,39
54468,0,0,0,0,0,5658,0,7448,0,2492,-8.034546,-5.930523,0.902158,9,39
65100,0,43554,0,0,0,7105,0,9060,0,1056,-7.876451,-4.336306,0.905149,8,39
47478,0,51793,0,0,0,9424,0,11200,0,1122,-7.118654,-3.576885,0.90357,7,39
37392,0,0,0,0,0,7222,8729,11041,0,924,-6.354087,-2.803397,0.9105,6,39
27000,0,0,0,0,7788,9295,0,14040,0,1080,-5.732171,-1.768892,0.890983,5,39
4104,9177,0,34965,31616,0,2310,25368,0,7440,0,4.735384,-1.592558,0.914967,4,39
2697,22517,0,5922,5289,0,0,3990,0,33728,4641,6.317274,12.525629,0.914684,14,39
3276,65025,0,6448,4270,0,0,3696,0,16968,0,6.232312,13.691255,0.907991,15,39
4256,12871,0,16946,13780,4410,0,7182,0,10696,0,5.859624,3.125715,0.913928,6,155
6700,11616,0,14405,12348,0,0,12805,0,12720,0,5.253787,4.640319,0.901725,7,155
0,21648,0,12214,8550,4264,0,5200,0,18407,39625,4.850047,6.399758,0.913466,8,155
744,23310,0,7332,4480,11895,0,7605,0,16680,25460,4.19596,7.962067,0.916494,9,155
2759,35952,0,9100,7285,0,0,4960,0,21000,53098,4.36771,9.026245,0.911423,10,155
2050,36435,0,9348,5198,0,0,5472,0,30039,49270,4.576228,10.034712,0.906055,11,155
2870,27800,0,4806,3870,13110,0,0,0,30300,51198,4.755965,11.051521,0.906131,12,155
2210,65352,0,0,5207,5211,0,8120,0,32841,38479,5.310606,11.875056,0.9059,13,155
0,6820,0,0,3100,0,0,0,0,0,53872,1.34839,13.988961,0.915399,14,155
4134,0,0,0,4641,0,0,0,0,0,8024,0.74429,14.986759,0.895023,15,155
5559,0,0,0,2943,0,0,0,0,0,0,-0.329702,16.00844,0.896663,16,155
3456,0,0,0,0,0,0,0,0,0,0,-1.56977,16.950981,0.912511,17,155
16344,0,11375,0,0,23562,18601,0,26510,0,5145,-5.550687,2.18879,0.898618,5,155
17088,0,29799,0,0,12606,9450,8342,3654,0,0,-4.92741,-0.842988,0.916104,4,155
528,22120,0,4450,6116,10100,0,0,0,24682,0,7.201338,10.774953,0.914002,12,143
0,19154,0,3430,6255,9045,0,0,0,19800,0,7.202661,10.836412,0.907262,13,143
2418,33536,0,1824,4140,0,0,6815,0,32851,7056,6.176536,12.564232,0.909317,14,143
2024,53632,0,4950,4674,0,0,5520,0,14994,0,6.150955,13.688189,0.914378,15,143
2784,34290,0,6157,4477,0,0,2340,0,3420,0,6.248111,14.771709,0.916084,16,143
3317,24696,0,2208,5772,13986,0,9185,0,27720,0,7.091025,9.674837,0.911161,11,143
1560,14934,0,9130,7956,4664,0,10980,0,14000,0,7.162175,8.335176,0.911231,10,143
3751,25398,0,11682,9177,0,0,0,0,19608,0,6.719045,7.339948,0.907771,9,143
4773,15876,0,9163,8037,6390,0,6850,0,13110,0,5.980844,6.719761,0.911935,8,143
5208,17537,0,13860,6942,4212,0,10773,0,12810,4522,5.219957,6.010945,0.909244,7,143
0,27328,0,16264,12261,0,0,18414,0,19872,29859,4.450163,5.393287,0.89376,6,143
4770,12597,0,13888,9212,0,0,6596,0,14271,22092,3.708461,4.634759,0.915035,5,143
6885,17404,0,18031,9947,4960,0,6528,0,13760,17000,2.762463,4.16161,0.913918,4,143
8085,0,0,20412,9100,0,0,7182,0,13764,11139,1.56188,3.682059,0.921766,3,143
8004,0,0,31536,16650,9350,5888,1836,0,15656,14212,1.412287,2.612656,0.916039,2,143
7320,0,0,37642,15089,7849,0,2576,0,14381,12411,1.34069,1.470966,0.909981,1,143
0,9164,0,48555,27864,3978,0,102030,0,6720,0,5.242754,-6.395485,0.990075,8,151
0,5400,0,62275,29256,1426,0,78445,0,2848,0,5.122327,-6.125768,0.988028,7,151
32,8965,0,47168,55384,3240,0,65952,0,4224,0,5.029259,-4.793619,0.991992,6,151
