Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,Camera_0012,Camera_0013,Camera_0014,Camera_0015,Camera_0016,Camera_0017,Camera_0018,Camera_0019,Camera_0020,Camera_0021,Camera_0022,Camera_0023,Camera_0024,Camera_0025,Camera_0026,Camera_0027,Camera_0028,Camera_0029,Camera_0030,Camera_0031,Camera_0032,Camera_0033,Camera_0034,Camera_0035,Camera_0036,Camera_0037,Camera_0038,Camera_0039,Camera_0040,Camera_0041,Camera_0042,Camera_0043,Camera_0044,Camera_0045,Camera_0046,Camera_0047,Camera_0048,Camera_0049,Camera_0050,x_position,y_position,z_position,unit_distance_from_origin,unit_id
1221,3330,238,0,6500,2352,0,0,0,460,0,0,2610,300,2318,0,2090,768,0,3363,1683,0,3960,0,1008,0,0,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9525,0,-10.861312,-7.774997,0.314778,13,0
0,0,0,0,14061,0,0,0,0,39,0,0,1813,621,2680,0,1056,660,0,4200,841,0,5152,0,500,936,0,1815,0,0,0,0,0,0,0,0,0,10086,0,0,0,0,0,0,8094,0,0,0,0,3782,0,-8.931716,-10.786791,0.314783,14,0
0,0,0,0,0,0,0,0,0,209,0,0,1428,0,2898,0,928,560,0,3822,0,0,5488,0,0,3534,0,0,0,1134,0,0,0,0,0,0,0,5368,0,0,0,0,0,0,8541,0,0,0,0,2808,0,-7.774507,-12.832433,0.314783,15,0
435,0,0,0,0,5568,0,0,0,306,0,0,350,0,3139,0,810,520,0,3525,224,748,5880,0,0,4836,0,437,0,228,0,0,0,0,0,0,0,3550,0,0,0,0,0,0,8833,0,0,0,0,2162,0,-6.857211,-14.465814,0.314783,16,0
4154,0,273,0,0,6466,0,0,0,288,0,0,986,0,3476,0,728,207,0,3081,132,0,0,0,0,1140,0,1581,29480,0,0,0,0,0,0,0,0,2623,0,0,0,0,0,0,9548,0,0,0,0,0,0,-6.04417,-15.899561,0.314785,17,0
5680,0,0,0,0,7705,1260,0,0,255,0,0,864,0,3910,0,648,414,0,3588,28,90,0,0,180,7220,0,1071,21112,0,25578,0,0,0,0,0,0,2106,0,0,0,0,0,0,10368,0,0,0,0,1600,0,-5.315061,-17.204651,0.314783,18,0
4465,0,0,0,0,0,0,0,0,312,0,0,696,0,0,0,525,0,0,4845,520,195,0,0,0,12300,0,0,5168,792,9984,713,0,0,0,0,0,2310,0,0,0,0,0,0,7420,0,0,0,0,0,0,-1.780295,-18.918689,0.314785,19,0
1083,3283,0,0,0,0,0,0,0,165,0,0,1632,228,2035,0,1140,0,0,1000,714,0,920,0,114,12,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,1326,0,0,0,1056,0,0,0,1189,0,-15.075064,-13.150678,0.442649,20,0
1239,4235,0,0,0,330,0,0,0,102,0,0,1472,0,2583,0,1100,0,0,846,345,0,684,0,220,663,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,13674,0,0,0,2220,0,0,0,999,0,-15.480844,-14.200396,0.442651,21,0
1240,5544,0,0,0,56,0,0,0,162,0,0,1426,187,3384,0,1007,0,0,0,0,0,738,0,170,918,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,8944,0,0,0,1749,0,0,0,858,0,-15.882755,-15.237512,0.442649,22,0
0,720,0,0,0,238,0,0,7446,220,0,0,1276,170,4264,0,80,0,0,0,720,0,646,0,190,494,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,6408,0,0,0,1488,0,8816,0,736,0,-16.280134,-16.253029,0.442656,23,0
0,0,0,0,0,100,0,0,6384,189,0,0,112,160,5917,0,900,0,0,608,660,0,289,0,180,901,0,228,0,0,0,0,0,8064,0,0,0,0,0,0,0,4774,0,0,0,1232,0,13824,0,682,0,-16.668864,-17.270559,0.44265,24,0
0,0,0,0,0,98,0,0,5625,180,0,0,1140,144,8352,0,882,0,0,540,645,0,544,0,22,901,0,198,0,0,0,0,0,5724,0,0,0,0,0,0,0,3672,0,0,0,962,0,10250,0,588,0,-17.066005,-18.287164,0.44265,25,0
0,0,0,0,0,0,0,0,4914,180,0,0,1120,160,12212,0,833,0,0,495,645,0,480,0,162,884,0,0,0,0,0,0,0,4371,0,0,0,0,0,0,0,3024,0,0,0,936,0,7811,0,532,0,-17.445804,-19.296497,0.442667,26,0
0,0,0,0,0,0,0,0,4551,117,0,0,1060,63,21168,0,782,0,0,378,150,0,512,0,144,0,0,198,0,0,0,0,0,3192,0,0,0,0,0,0,0,2365,0,0,0,759,0,6464,0,450,0,-17.84448,-20.271602,0.442657,27,0
0,0,0,0,0,0,0,0,4134,171,0,0,230,135,38448,0,15,0,0,196,0,0,406,0,112,901,0,160,0,0,0,0,0,2660,0,0,0,0,0,0,0,2028,0,0,0,630,0,5046,0,450,0,-18.218072,-21.263936,0.442654,28,0
0,0,0,0,0,0,0,0,3800,162,0,0,936,126,0,1102,20,0,0,364,0,0,238,0,135,884,0,120,0,0,0,0,0,1734,0,0,0,0,0,0,0,1728,0,0,0,600,0,2288,0,408,0,-18.601417,-22.248504,0.442649,29,0
0,1271,0,0,3024,950,0,0,0,165,0,0,0,0,682,0,1026,364,0,2356,184,0,2108,0,231,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,3,0,-9.66065,-8.69796,0.442648,12,0
253,1131,0,0,2816,2072,0,0,0,0,0,0,1496,196,600,0,1102,195,0,2992,800,0,2664,0,210,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,0,0,0,0,2911,0,-9.079235,-7.826034,0.442653,11,0
91,6,0,0,2340,2580,0,0,0,70,0,0,1606,0,400,0,377,378,0,2552,867,0,32,0,0,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,1452,0,-8.512954,-6.951101,0.442647,10,0
616,2448,0,0,1105,663,0,19350,0,3807,0,0,0,0,0,0,0,0,2508,0,117600,0,0,114576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22826,0,0,0,5002,0,0,0,0,0,0,0,-23.511425,4.535074,0.133567,23,41
588,2976,0,0,1656,1078,0,25553,0,2970,0,1134,0,1078,0,0,0,0,2280,0,56280,0,0,70400,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,21014,0,0,0,15594,0,0,0,0,0,0,0,-22.758941,3.288357,0.128895,22,41
780,3638,0,0,2204,1216,0,4995,0,2212,0,1157,0,3915,0,0,102588,0,3367,0,21344,0,0,0,39,0,0,1349,0,0,0,0,0,0,0,0,0,0,0,15330,0,0,0,20768,0,0,0,0,0,0,0,-21.968731,1.041495,0.128895,21,41
816,5412,0,0,2700,1768,0,0,0,2163,0,112,74307,0,0,0,23532,0,8350,0,12336,0,1617,0,2280,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,9750,0,0,0,0,0,0,0,0,0,0,0,-20.901933,-1.978102,0.128895,20,41
884,4400,0,0,5236,1392,0,0,0,2231,0,1600,22080,0,0,0,24178,54,6660,0,12400,0,0,0,2178,0,0,1848,0,0,0,0,0,0,0,0,0,0,0,13386,0,0,0,0,0,0,0,0,0,0,0,-19.969948,-0.880634,0.128895,19,41
845,3528,0,0,4340,2052,0,10725,0,1880,0,1989,0,0,0,0,26811,192,5796,0,9996,0,0,0,432,0,0,2472,0,0,0,0,0,0,0,0,0,0,0,20511,0,0,0,4087,0,0,0,0,0,0,0,-18.988311,0.26933,0.128895,18,41
884,1920,0,0,3556,405,0,17850,0,0,0,1744,0,0,0,0,29133,0,4699,0,6000,0,0,0,2387,0,0,2538,0,0,0,0,0,0,0,0,0,0,0,29750,0,0,0,38640,0,0,0,0,0,0,0,-17.93527,1.521866,0.128903,17,41
605,2970,0,0,900,0,0,10541,0,0,0,1632,0,104,0,0,0,0,4352,0,13005,0,0,1564,3136,0,37990,2759,0,0,0,0,0,0,0,0,0,0,0,840,0,0,0,28884,0,0,0,0,0,0,0,-16.778632,2.666893,0.128895,16,41
780,2548,0,0,2070,0,0,7107,0,0,0,896,0,4148,1400,0,0,0,3840,0,8640,0,0,5168,4200,0,39928,4060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8208,0,0,0,0,0,0,0,-15.586188,3.594498,0.128896,15,41
780,2236,0,0,2134,0,0,2597,0,3503,0,624,0,1768,1746,0,0,0,3472,0,10032,0,0,11718,64,0,20280,2318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.249769,4.684406,0.128894,14,41
804,1512,0,0,2079,0,0,3936,0,4454,0,1802,0,5418,1275,0,0,0,1846,0,0,0,0,6288,0,0,10250,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.675259,5.933483,0.128895,13,41
539,1428,0,0,1638,0,0,2812,0,0,0,435,0,3115,1078,0,0,4664,476,0,0,0,0,1496,6786,0,5724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.440974,7.742462,0.12893,12,41
832,1323,0,410,931,0,0,1917,0,0,0,2184,0,0,832,0,0,3772,0,0,0,0,0,6018,5520,0,9108,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.801589,6.91147,0.128893,11,41
972,1848,0,21,987,0,0,0,0,0,0,2664,0,30,220,0,0,4059,0,0,0,0,0,5292,4715,0,10584,13983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.643436,5.291444,0.128893,10,41
1064,2139,0,1020,1584,0,0,0,0,0,0,3172,0,0,1185,0,0,3115,0,0,7176,0,0,0,3234,0,11286,10241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.453533,3.239414,0.128893,9,41
15510,65856,247,0,0,16632,0,0,0,11730,53163,0,0,12656,0,0,0,0,154665,0,0,0,24656,0,0,12556,0,16016,0,0,0,0,0,0,0,0,0,0,0,53568,0,0,0,0,0,122589,0,0,0,0,0,-25.224881,-6.948549,1.413329,26,52
0,0,0,18483,2490,0,0,0,0,0,0,0,0,0,2145,0,0,0,0,0,0,0,0,1224,0,0,0,0,0,0,0,0,13090,0,63654,0,0,0,5270,0,47950,0,498,0,4836,0,0,0,0,0,16016,3.01397,28.885052,1.413329,29,61
0,156,17290,5040,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4384,0,0,0,0,0,23933,0,26544,0,385,0,0,0,0,0,0,0,1404,-1.91693,26.503766,0.921916,26,16
40,0,10320,8400,1625,0,0,0,0,0,0,39,0,0,165,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,9072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.438015,25.157135,0.905635,25,16
2,871,4851,5754,1474,0,0,0,0,0,0,272,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.166849,23.936246,0.910211,24,16
0,7,0,342,1380,0,0,0,0,0,0,210,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.981754,22.61332,0.913483,23,16
1650,0,7912,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,59782,0,0,0,0,0,0,0,0,0,0,0,5002,-4.182728,22.594358,0.909397,22,16
1768,0,418,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74980,0,0,0,0,0,0,0,0,0,0,0,5289,-4.110628,21.576128,0.912312,21,16
1914,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111300,0,0,0,0,0,0,0,0,0,0,0,6110,-4.132541,20.581331,0.901082,20,16
